"Wavenumber","Intensity"
"-16.778","0.67"
"-12.919","-0.33"
"-9.063","0.33"
"-5.209","0.33"
"-1.359","-740.67"
"2.488","-325.67"
"6.332","-36"
"10.173","-9.67"
"14.012","-4"
"17.847","-3"
"21.679","-0.67"
"25.508","2"
"29.335","5.67"
"33.158","5"
"36.979","4.33"
"40.796","2.33"
"44.611","3.67"
"48.423","3.33"
"52.231","6.67"
"56.037","5.67"
"59.84","5.33"
"63.64","5"
"67.437","7"
"71.231","7.33"
"75.022","8.33"
"78.81","8"
"82.596","5"
"86.378","11"
"90.158","10.33"
"93.934","10.33"
"97.708","13.67"
"101.479","12.67"
"105.247","13"
"109.012","13.67"
"112.774","15.33"
"116.533","21"
"120.289","20"
"124.043","31.67"
"127.793","42"
"131.541","63"
"135.286","122"
"139.028","208.33"
"142.767","353.33"
"146.503","557"
"150.237","823"
"153.967","1095"
"157.695","1326"
"161.42","1523.67"
"165.142","1634"
"168.861","1689.33"
"172.577","1708"
"176.291","1753.33"
"180.002","1768.67"
"183.709","1778.33"
"187.414","1763.67"
"191.117","1771"
"194.816","1786.67"
"198.512","1791"
"202.206","1796"
"205.897","1787.33"
"209.585","1781"
"213.27","1801.33"
"216.953","1793"
"220.633","1790"
"224.309","1790"
"227.984","1795.67"
"231.655","1779.67"
"235.323","1804"
"238.989","1798.33"
"242.652","1813.33"
"246.312","1827"
"249.97","1824.67"
"253.624","1828.33"
"257.276","1823"
"260.925","1840"
"264.571","1835"
"268.215","1841.67"
"271.856","1839.67"
"275.494","1826.33"
"279.129","1830.67"
"282.762","1827"
"286.391","1830"
"290.018","1828"
"293.643","1815.33"
"297.264","1822.33"
"300.883","1815"
"304.499","1817"
"308.112","1832.67"
"311.723","1829.67"
"315.331","1821.33"
"318.936","1802.67"
"322.538","1821.33"
"326.138","1823"
"329.735","1830"
"333.33","1822"
"336.921","1821.67"
"340.51","1834.33"
"344.096","1827.33"
"347.68","1845"
"351.261","1843.67"
"354.839","1841.67"
"358.414","1852"
"361.987","1802"
"365.557","1814.67"
"369.124","1821.33"
"372.689","1823"
"376.251","1816.67"
"379.81","1799"
"383.367","1803"
"386.921","1797.33"
"390.472","1813.67"
"394.021","1818"
"397.567","1800"
"401.11","1815.67"
"404.651","1814.67"
"408.189","1822.67"
"411.724","1805.67"
"415.257","1786"
"418.787","1778.33"
"422.315","1779.67"
"425.839","1787"
"429.362","1784.33"
"432.881","1815.33"
"436.398","1852"
"439.912","1847.67"
"443.424","1875.33"
"446.933","1885"
"450.439","1853.67"
"453.943","1843.33"
"457.444","1822.67"
"460.943","1799"
"464.439","1806"
"467.932","1813"
"471.423","1795.67"
"474.911","1820.33"
"478.397","1817.67"
"481.88","1823.67"
"485.36","1837.67"
"488.838","1846.67"
"492.313","1878.33"
"495.786","1916.33"
"499.256","2004.33"
"502.723","2115.33"
"506.188","2204"
"509.651","2299.67"
"513.11","2354"
"516.567","2308.67"
"520.022","2132.33"
"523.474","1975"
"526.924","1901"
"530.37","1882"
"533.815","1880.67"
"537.257","1872.67"
"540.696","1894"
"544.133","1891.33"
"547.567","1915.33"
"550.998","1928.33"
"554.428","1916.33"
"557.854","1905.33"
"561.278","1889"
"564.7","1842"
"568.119","1763.67"
"571.535","1728.33"
"574.949","1725.33"
"578.36","1707"
"581.769","1696.33"
"585.175","1697.33"
"588.579","1660"
"591.981","1655"
"595.379","1640.33"
"598.776","1618"
"602.17","1608"
"605.561","1593"
"608.95","1603.67"
"612.336","1609.67"
"615.72","1630.33"
"619.101","1619"
"622.48","1589.67"
"625.856","1581.33"
"629.23","1566.33"
"632.602","1555.67"
"635.971","1561"
"639.337","1544.33"
"642.701","1538"
"646.062","1545.33"
"649.421","1527.67"
"652.778","1533.33"
"656.132","1509"
"659.484","1519.67"
"662.833","1505"
"666.18","1527.67"
"669.524","1506.67"
"672.866","1494"
"676.205","1496"
"679.542","1487.67"
"682.877","1466"
"686.209","1478.67"
"689.538","1486.33"
"692.865","1483"
"696.19","1476"
"699.512","1481.33"
"702.832","1467"
"706.15","1455.33"
"709.465","1452.33"
"712.777","1438"
"716.087","1419.33"
"719.395","1414.33"
"722.701","1427.67"
"726.004","1413"
"729.304","1421.33"
"732.602","1406.67"
"735.898","1424"
"739.191","1426.33"
"742.482","1458.33"
"745.771","1480.67"
"749.057","1492.67"
"752.341","1451"
"755.622","1435.33"
"758.901","1426.67"
"762.177","1450"
"765.452","1463.67"
"768.723","1476"
"771.993","1473.67"
"775.26","1454"
"778.525","1459.33"
"781.787","1438.33"
"785.047","1456"
"788.304","1468"
"791.56","1474.67"
"794.812","1469"
"798.063","1424.67"
"801.311","1391.67"
"804.557","1363"
"807.8","1342.33"
"811.041","1352.33"
"814.28","1360.67"
"817.516","1389.67"
"820.751","1386"
"823.982","1370.67"
"827.212","1362.67"
"830.439","1366.33"
"833.663","1381.33"
"836.886","1379.33"
"840.106","1410.33"
"843.323","1423"
"846.539","1464.33"
"849.752","1490.33"
"852.963","1492.67"
"856.171","1488"
"859.377","1450.67"
"862.581","1430.67"
"865.782","1408.33"
"868.982","1383.33"
"872.179","1346.33"
"875.373","1338.33"
