"Wavenumber","Intensity"
"5498.89442","-0.22811"
"5497.93021","-0.22941"
"5496.966","-0.23039"
"5496.00179","-0.22933"
"5495.03757","-0.22856"
"5494.07336","-0.23282"
"5493.10915","-0.23908"
"5492.14494","-0.24026"
"5491.18073","-0.23728"
"5490.21652","-0.23496"
"5489.25231","-0.23432"
"5488.2881","-0.23334"
"5487.32389","-0.23037"
"5486.35968","-0.22673"
"5485.39547","-0.22597"
"5484.43126","-0.22926"
"5483.46704","-0.23387"
"5482.50283","-0.23706"
"5481.53862","-0.2386"
"5480.57441","-0.23869"
"5479.6102","-0.23698"
"5478.64599","-0.23453"
"5477.68178","-0.2323"
"5476.71757","-0.22877"
"5475.75336","-0.22449"
"5474.78915","-0.22469"
"5473.82494","-0.23118"
"5472.86073","-0.24008"
"5471.89651","-0.24798"
"5470.9323","-0.25241"
"5469.96809","-0.25113"
"5469.00388","-0.24504"
"5468.03967","-0.23822"
"5467.07546","-0.23482"
"5466.11125","-0.23573"
"5465.14704","-0.23796"
"5464.18283","-0.23871"
"5463.21862","-0.23875"
"5462.25441","-0.23974"
"5461.2902","-0.24103"
"5460.32598","-0.24138"
"5459.36177","-0.24088"
"5458.39756","-0.24003"
"5457.43335","-0.23877"
"5456.46914","-0.2371"
"5455.50493","-0.23613"
"5454.54072","-0.23717"
"5453.57651","-0.23958"
"5452.6123","-0.2409"
"5451.64809","-0.24047"
"5450.68388","-0.24067"
"5449.71967","-0.2431"
"5448.75545","-0.24587"
"5447.79124","-0.24634"
"5446.82703","-0.24442"
"5445.86282","-0.2424"
"5444.89861","-0.24263"
"5443.9344","-0.24499"
"5442.97019","-0.24725"
"5442.00598","-0.24769"
"5441.04177","-0.24687"
"5440.07756","-0.24647"
"5439.11335","-0.24649"
"5438.14913","-0.24605"
"5437.18492","-0.24574"
"5436.22071","-0.24656"
"5435.2565","-0.24817"
"5434.29229","-0.24917"
"5433.32808","-0.24816"
"5432.36387","-0.24529"
"5431.39966","-0.2426"
"5430.43545","-0.24198"
"5429.47124","-0.24323"
"5428.50703","-0.24443"
"5427.54282","-0.24483"
"5426.5786","-0.2458"
"5425.61439","-0.24809"
"5424.65018","-0.25016"
"5423.68597","-0.25037"
"5422.72176","-0.24898"
"5421.75755","-0.24718"
"5420.79334","-0.24584"
"5419.82913","-0.24563"
"5418.86492","-0.24665"
"5417.90071","-0.24795"
"5416.9365","-0.24853"
"5415.97229","-0.2486"
"5415.00807","-0.24846"
"5414.04386","-0.248"
"5413.07965","-0.24824"
"5412.11544","-0.24956"
"5411.15123","-0.25041"
"5410.18702","-0.24999"
"5409.22281","-0.24882"
"5408.2586","-0.24762"
"5407.29439","-0.24722"
"5406.33018","-0.24802"
"5405.36597","-0.24965"
"5404.40176","-0.25138"
"5403.43754","-0.25267"
"5402.47333","-0.25327"
"5401.50912","-0.25295"
"5400.54491","-0.25183"
"5399.5807","-0.25059"
"5398.61649","-0.2496"
"5397.65228","-0.24849"
"5396.68807","-0.24709"
"5395.72386","-0.24631"
"5394.75965","-0.24667"
"5393.79544","-0.24744"
"5392.83123","-0.24818"
"5391.86701","-0.24926"
"5390.9028","-0.25085"
"5389.93859","-0.25241"
"5388.97438","-0.25282"
"5388.01017","-0.25189"
"5387.04596","-0.2509"
"5386.08175","-0.25099"
"5385.11754","-0.25197"
"5384.15333","-0.2527"
"5383.18912","-0.25256"
"5382.22491","-0.25202"
"5381.2607","-0.25139"
"5380.29648","-0.25049"
"5379.33227","-0.24981"
"5378.36806","-0.25002"
"5377.40385","-0.25057"
"5376.43964","-0.25077"
"5375.47543","-0.25065"
"5374.51122","-0.25035"
"5373.54701","-0.25032"
"5372.5828","-0.25084"
"5371.61859","-0.25128"
"5370.65438","-0.25106"
"5369.69017","-0.2504"
"5368.72595","-0.25013"
"5367.76174","-0.25081"
"5366.79753","-0.252"
"5365.83332","-0.2527"
"5364.86911","-0.25238"
"5363.9049","-0.25132"
"5362.94069","-0.25024"
"5361.97648","-0.24958"
"5361.01227","-0.24936"
"5360.04806","-0.24938"
"5359.08385","-0.24935"
"5358.11964","-0.24937"
"5357.15542","-0.25009"
"5356.19121","-0.25132"
"5355.227","-0.25167"
"5354.26279","-0.25055"
"5353.29858","-0.24932"
"5352.33437","-0.24943"
"5351.37016","-0.25054"
"5350.40595","-0.25142"
"5349.44174","-0.25149"
"5348.47753","-0.25139"
"5347.51332","-0.25198"
"5346.54911","-0.25299"
"5345.58489","-0.25318"
"5344.62068","-0.25229"
"5343.65647","-0.25173"
"5342.69226","-0.25213"
"5341.72805","-0.25265"
"5340.76384","-0.2527"
"5339.79963","-0.25208"
"5338.83542","-0.25075"
"5337.87121","-0.2498"
"5336.907","-0.2501"
"5335.94279","-0.25096"
"5334.97858","-0.25181"
"5334.01436","-0.25274"
"5333.05015","-0.25337"
"5332.08594","-0.25314"
"5331.12173","-0.25223"
"5330.15752","-0.25136"
"5329.19331","-0.25111"
"5328.2291","-0.25141"
"5327.26489","-0.25172"
"5326.30068","-0.25183"
"5325.33647","-0.25197"
"5324.37226","-0.25221"
"5323.40805","-0.25262"
"5322.44383","-0.25309"
"5321.47962","-0.25311"
"5320.51541","-0.25235"
"5319.5512","-0.2512"
"5318.58699","-0.25044"
"5317.62278","-0.25044"
"5316.65857","-0.25093"
"5315.69436","-0.25146"
"5314.73015","-0.25176"
"5313.76594","-0.25188"
"5312.80173","-0.25209"
"5311.83752","-0.25225"
"5310.8733","-0.25178"
"5309.90909","-0.2507"
"5308.94488","-0.24986"
"5307.98067","-0.24983"
"5307.01646","-0.25054"
"5306.05225","-0.25158"
"5305.08804","-0.25231"
"5304.12383","-0.25218"
"5303.15962","-0.25152"
"5302.19541","-0.25126"
"5301.2312","-0.25166"
"5300.26698","-0.25205"
"5299.30277","-0.25196"
"5298.33856","-0.25164"
"5297.37435","-0.25146"
"5296.41014","-0.25158"
"5295.44593","-0.252"
"5294.48172","-0.2523"
"5293.51751","-0.25201"
"5292.5533","-0.25137"
"5291.58909","-0.2508"
"5290.62488","-0.2502"
"5289.66067","-0.2497"
"5288.69645","-0.24992"
"5287.73224","-0.25066"
"5286.76803","-0.25116"
"5285.80382","-0.25114"
"5284.83961","-0.25094"
"5283.8754","-0.2512"
"5282.91119","-0.25202"
"5281.94698","-0.2528"
"5280.98277","-0.25295"
"5280.01856","-0.25241"
"5279.05435","-0.25171"
"5278.09014","-0.25114"
"5277.12592","-0.25082"
"5276.16171","-0.25099"
"5275.1975","-0.25156"
"5274.23329","-0.25187"
"5273.26908","-0.25154"
"5272.30487","-0.25115"
"5271.34066","-0.25126"
"5270.37645","-0.25144"
"5269.41224","-0.2511"
"5268.44803","-0.25062"
"5267.48382","-0.25053"
"5266.51961","-0.2508"
"5265.55539","-0.25124"
"5264.59118","-0.25126"
"5263.62697","-0.25092"
"5262.66276","-0.25112"
"5261.69855","-0.25142"
"5260.73434","-0.25129"
"5259.77013","-0.25143"
"5258.80592","-0.25205"
"5257.84171","-0.25256"
"5256.8775","-0.25273"
"5255.91329","-0.25232"
"5254.94908","-0.2512"
"5253.98486","-0.25047"
"5253.02065","-0.25074"
"5252.05644","-0.25098"
"5251.09223","-0.25081"
"5250.12802","-0.25103"
"5249.16381","-0.25137"
"5248.1996","-0.25067"
"5247.23539","-0.24975"
"5246.27118","-0.25018"
"5245.30697","-0.25112"
"5244.34276","-0.25102"
"5243.37855","-0.25053"
"5242.41433","-0.25087"
"5241.45012","-0.25169"
"5240.48591","-0.25232"
"5239.5217","-0.25239"
"5238.55749","-0.25172"
"5237.59328","-0.25095"
"5236.62907","-0.25094"
"5235.66486","-0.25145"
"5234.70065","-0.25164"
"5233.73644","-0.2515"
"5232.77223","-0.25167"
"5231.80802","-0.25194"
"5230.8438","-0.25175"
"5229.87959","-0.25141"
"5228.91538","-0.2513"
"5227.95117","-0.25149"
"5226.98696","-0.25187"
"5226.02275","-0.25184"
"5225.05854","-0.2514"
"5224.09433","-0.25151"
"5223.13012","-0.25193"
"5222.16591","-0.25188"
"5221.2017","-0.2518"
"5220.23749","-0.25223"
"5219.27327","-0.25256"
"5218.30906","-0.2522"
"5217.34485","-0.25162"
"5216.38064","-0.25147"
"5215.41643","-0.25191"
"5214.45222","-0.25256"
"5213.48801","-0.25268"
"5212.5238","-0.25218"
"5211.55959","-0.25163"
"5210.59538","-0.2514"
"5209.63117","-0.25111"
"5208.66696","-0.25094"
"5207.70274","-0.25149"
"5206.73853","-0.25177"
"5205.77432","-0.25121"
"5204.81011","-0.25133"
"5203.8459","-0.25237"
"5202.88169","-0.25294"
"5201.91748","-0.25257"
"5200.95327","-0.25177"
"5199.98906","-0.25125"
"5199.02485","-0.25147"
"5198.06064","-0.25195"
"5197.09643","-0.25173"
"5196.13221","-0.25098"
"5195.168","-0.25047"
"5194.20379","-0.25028"
"5193.23958","-0.25017"
"5192.27537","-0.25031"
"5191.31116","-0.25105"
"5190.34695","-0.25199"
"5189.38274","-0.2522"
"5188.41853","-0.2517"
"5187.45432","-0.2515"
"5186.49011","-0.25196"
"5185.5259","-0.25229"
"5184.56168","-0.25212"
"5183.59747","-0.2521"
"5182.63326","-0.25242"
"5181.66905","-0.25265"
"5180.70484","-0.25253"
"5179.74063","-0.25211"
"5178.77642","-0.25174"
"5177.81221","-0.25175"
"5176.848","-0.25214"
"5175.88379","-0.25261"
"5174.91958","-0.25285"
"5173.95536","-0.25259"
"5172.99115","-0.25208"
"5172.02694","-0.25183"
"5171.06273","-0.25169"
"5170.09852","-0.25148"
"5169.13431","-0.25153"
"5168.1701","-0.25181"
"5167.20589","-0.25179"
"5166.24168","-0.25162"
"5165.27747","-0.25186"
"5164.31326","-0.2522"
"5163.34905","-0.25214"
"5162.38483","-0.25208"
"5161.42062","-0.25211"
"5160.45641","-0.2519"
"5159.4922","-0.2518"
"5158.52799","-0.2522"
"5157.56378","-0.25261"
"5156.59957","-0.25243"
"5155.63536","-0.25188"
"5154.67115","-0.25151"
"5153.70694","-0.25155"
"5152.74273","-0.25186"
"5151.77852","-0.2521"
"5150.8143","-0.2522"
"5149.85009","-0.25228"
"5148.88588","-0.25224"
"5147.92167","-0.25205"
"5146.95746","-0.25198"
"5145.99325","-0.25206"
"5145.02904","-0.25201"
"5144.06483","-0.25177"
"5143.10062","-0.25164"
"5142.13641","-0.25172"
"5141.1722","-0.25188"
"5140.20799","-0.25207"
"5139.24377","-0.25221"
"5138.27956","-0.25222"
"5137.31535","-0.25222"
"5136.35114","-0.25221"
"5135.38693","-0.25215"
"5134.42272","-0.25216"
"5133.45851","-0.25224"
"5132.4943","-0.25221"
"5131.53009","-0.25205"
"5130.56588","-0.25192"
"5129.60167","-0.25192"
"5128.63746","-0.25202"
"5127.67324","-0.25219"
"5126.70903","-0.25239"
"5125.74482","-0.25248"
"5124.78061","-0.25223"
"5123.8164","-0.25166"
"5122.85219","-0.25133"
"5121.88798","-0.25162"
"5120.92377","-0.25208"
"5119.95956","-0.25215"
"5118.99535","-0.25195"
"5118.03114","-0.25176"
"5117.06693","-0.25156"
"5116.10271","-0.25143"
"5115.1385","-0.25141"
"5114.17429","-0.25129"
"5113.21008","-0.25096"
"5112.24587","-0.25058"
"5111.28166","-0.2505"
"5110.31745","-0.25076"
"5109.35324","-0.25098"
"5108.38903","-0.25098"
"5107.42482","-0.25086"
"5106.46061","-0.25077"
"5105.4964","-0.25067"
"5104.53218","-0.25052"
"5103.56797","-0.2505"
"5102.60376","-0.25072"
"5101.63955","-0.25109"
"5100.67534","-0.2514"
"5099.71113","-0.25141"
"5098.74692","-0.25111"
"5097.78271","-0.25075"
"5096.8185","-0.25058"
"5095.85429","-0.25077"
"5094.89008","-0.25117"
"5093.92587","-0.25142"
"5092.96165","-0.25145"
"5091.99744","-0.2514"
"5091.03323","-0.25138"
"5090.06902","-0.25134"
"5089.10481","-0.25113"
"5088.1406","-0.25076"
"5087.17639","-0.25046"
"5086.21218","-0.25046"
"5085.24797","-0.25071"
"5084.28376","-0.25096"
"5083.31955","-0.25106"
"5082.35534","-0.25092"
"5081.39112","-0.25055"
"5080.42691","-0.25027"
"5079.4627","-0.25034"
"5078.49849","-0.25058"
"5077.53428","-0.25081"
"5076.57007","-0.25095"
"5075.60586","-0.25089"
"5074.64165","-0.25068"
"5073.67744","-0.25051"
"5072.71323","-0.25042"
"5071.74902","-0.25037"
"5070.78481","-0.25038"
"5069.82059","-0.25046"
"5068.85638","-0.25058"
"5067.89217","-0.25073"
"5066.92796","-0.25081"
"5065.96375","-0.25067"
"5064.99954","-0.25039"
"5064.03533","-0.25017"
"5063.07112","-0.25001"
"5062.10691","-0.25001"
"5061.1427","-0.2503"
"5060.17849","-0.25075"
"5059.21428","-0.25105"
"5058.25006","-0.25106"
"5057.28585","-0.25077"
"5056.32164","-0.25054"
"5055.35743","-0.25068"
"5054.39322","-0.25096"
"5053.42901","-0.25101"
"5052.4648","-0.25084"
"5051.50059","-0.2507"
"5050.53638","-0.25075"
"5049.57217","-0.25088"
"5048.60796","-0.2509"
"5047.64374","-0.25081"
"5046.67953","-0.25082"
"5045.71532","-0.25097"
"5044.75111","-0.25101"
"5043.7869","-0.25078"
"5042.82269","-0.25037"
"5041.85848","-0.25008"
"5040.89427","-0.25011"
"5039.93006","-0.25035"
"5038.96585","-0.2505"
"5038.00164","-0.2504"
"5037.03743","-0.25019"
"5036.07321","-0.25019"
"5035.109","-0.25043"
"5034.14479","-0.25071"
"5033.18058","-0.25092"
"5032.21637","-0.25103"
"5031.25216","-0.25103"
"5030.28795","-0.25093"
"5029.32374","-0.25076"
"5028.35953","-0.25061"
"5027.39532","-0.25054"
"5026.43111","-0.25037"
"5025.4669","-0.2501"
"5024.50268","-0.24999"
"5023.53847","-0.25007"
"5022.57426","-0.25024"
"5021.61005","-0.25048"
"5020.64584","-0.25073"
"5019.68163","-0.25084"
"5018.71742","-0.25087"
"5017.75321","-0.2509"
"5016.789","-0.25095"
"5015.82479","-0.251"
"5014.86058","-0.25105"
"5013.89637","-0.25106"
"5012.93215","-0.25095"
"5011.96794","-0.25077"
"5011.00373","-0.25066"
"5010.03952","-0.25072"
"5009.07531","-0.25092"
"5008.1111","-0.2511"
"5007.14689","-0.25098"
"5006.18268","-0.25057"
"5005.21847","-0.25024"
"5004.25426","-0.25016"
"5003.29005","-0.25034"
"5002.32584","-0.25076"
"5001.36162","-0.25118"
"5000.39741","-0.25139"
"4999.4332","-0.25118"
"4998.46899","-0.25117"
"4997.50478","-0.25099"
"4996.54057","-0.25088"
"4995.57636","-0.25097"
"4994.61215","-0.25103"
"4993.64794","-0.25094"
"4992.68373","-0.2508"
"4991.71952","-0.25082"
"4990.75531","-0.25099"
"4989.79109","-0.25108"
"4988.82688","-0.25102"
"4987.86267","-0.25093"
"4986.89846","-0.25084"
"4985.93425","-0.25079"
"4984.97004","-0.25086"
"4984.00583","-0.25088"
"4983.04162","-0.25071"
"4982.07741","-0.25059"
"4981.1132","-0.25078"
"4980.14899","-0.25105"
"4979.18478","-0.25106"
"4978.22056","-0.25075"
"4977.25635","-0.25036"
"4976.29214","-0.25028"
"4975.32793","-0.25054"
"4974.36372","-0.25085"
"4973.39951","-0.25086"
"4972.4353","-0.25062"
"4971.47109","-0.25049"
"4970.50688","-0.2505"
"4969.54267","-0.25041"
"4968.57846","-0.25035"
"4967.61425","-0.25055"
"4966.65003","-0.2508"
"4965.68582","-0.25092"
"4964.72161","-0.25104"
"4963.7574","-0.25121"
"4962.79319","-0.25142"
"4961.82898","-0.25155"
"4960.86477","-0.25142"
"4959.90056","-0.25111"
"4958.93635","-0.25076"
"4957.97214","-0.25047"
"4957.00793","-0.25044"
"4956.04372","-0.25072"
"4955.0795","-0.25119"
"4954.11529","-0.25159"
"4953.15108","-0.25165"
"4952.18687","-0.25143"
"4951.22266","-0.25121"
"4950.25845","-0.2512"
"4949.29424","-0.2513"
"4948.33003","-0.25131"
"4947.36582","-0.25129"
"4946.40161","-0.25123"
"4945.4374","-0.25103"
"4944.47319","-0.2508"
"4943.50897","-0.25068"
"4942.54476","-0.25069"
"4941.58055","-0.25084"
"4940.61634","-0.25106"
"4939.65213","-0.2511"
"4938.68792","-0.25096"
"4937.72371","-0.25102"
"4936.7595","-0.25124"
"4935.79529","-0.25118"
"4934.83108","-0.25105"
"4933.86687","-0.25113"
"4932.90266","-0.25114"
"4931.93844","-0.25097"
"4930.97423","-0.25081"
"4930.01002","-0.2507"
"4929.04581","-0.25063"
"4928.0816","-0.25051"
"4927.11739","-0.25045"
"4926.15318","-0.25068"
"4925.18897","-0.251"
"4924.22476","-0.25112"
"4923.26055","-0.25101"
"4922.29634","-0.25082"
"4921.33213","-0.2506"
"4920.36791","-0.25043"
"4919.4037","-0.25041"
"4918.43949","-0.25054"
"4917.47528","-0.25061"
"4916.51107","-0.2505"
"4915.54686","-0.25044"
"4914.58265","-0.25059"
"4913.61844","-0.25075"
"4912.65423","-0.25072"
"4911.69002","-0.25062"
"4910.72581","-0.25064"
"4909.76159","-0.2508"
"4908.79738","-0.25094"
"4907.83317","-0.25095"
"4906.86896","-0.25098"
"4905.90475","-0.25119"
"4904.94054","-0.25138"
"4903.97633","-0.25128"
"4903.01212","-0.251"
"4902.04791","-0.25082"
"4901.0837","-0.25077"
"4900.11949","-0.2508"
"4899.15528","-0.25075"
"4898.19106","-0.25051"
"4897.22685","-0.2504"
"4896.26264","-0.25061"
"4895.29843","-0.25085"
"4894.33422","-0.25097"
"4893.37001","-0.25105"
"4892.4058","-0.251"
"4891.44159","-0.25079"
"4890.47738","-0.2506"
"4889.51317","-0.25053"
"4888.54896","-0.25058"
"4887.58475","-0.25079"
"4886.62053","-0.25096"
"4885.65632","-0.251"
"4884.69211","-0.25124"
"4883.7279","-0.25162"
"4882.76369","-0.25169"
"4881.79948","-0.25135"
"4880.83527","-0.25087"
"4879.87106","-0.25075"
"4878.90685","-0.25119"
"4877.94264","-0.25157"
"4876.97843","-0.25149"
"4876.01422","-0.25125"
"4875.05","-0.25107"
"4874.08579","-0.251"
"4873.12158","-0.25109"
"4872.15737","-0.25122"
"4871.19316","-0.25117"
"4870.22895","-0.2509"
"4869.26474","-0.25055"
"4868.30053","-0.25049"
"4867.33632","-0.25076"
"4866.37211","-0.25088"
"4865.4079","-0.25088"
"4864.44369","-0.25107"
"4863.47947","-0.25121"
"4862.51526","-0.25109"
"4861.55105","-0.251"
"4860.58684","-0.25123"
"4859.62263","-0.25148"
"4858.65842","-0.25125"
"4857.69421","-0.25075"
"4856.73","-0.25048"
"4855.76579","-0.25049"
"4854.80158","-0.25065"
"4853.83737","-0.25086"
"4852.87316","-0.25104"
"4851.90894","-0.2511"
"4850.94473","-0.25105"
"4849.98052","-0.25102"
"4849.01631","-0.25112"
"4848.0521","-0.25121"
"4847.08789","-0.25119"
"4846.12368","-0.25105"
"4845.15947","-0.25088"
"4844.19526","-0.25077"
"4843.23105","-0.25073"
"4842.26684","-0.25076"
"4841.30263","-0.25091"
"4840.33841","-0.25114"
"4839.3742","-0.25125"
"4838.40999","-0.25118"
"4837.44578","-0.251"
"4836.48157","-0.25078"
"4835.51736","-0.25062"
"4834.55315","-0.25061"
"4833.58894","-0.25069"
"4832.62473","-0.25078"
"4831.66052","-0.25091"
"4830.69631","-0.25113"
"4829.7321","-0.25132"
"4828.76788","-0.25137"
"4827.80367","-0.25141"
"4826.83946","-0.25153"
"4825.87525","-0.25144"
"4824.91104","-0.25114"
"4823.94683","-0.25103"
"4822.98262","-0.25107"
"4822.01841","-0.25099"
"4821.0542","-0.25092"
"4820.08999","-0.25108"
"4819.12578","-0.25125"
"4818.16157","-0.25124"
"4817.19735","-0.25109"
"4816.23314","-0.25097"
"4815.26893","-0.25096"
"4814.30472","-0.25093"
"4813.34051","-0.25087"
"4812.3763","-0.25094"
"4811.41209","-0.25113"
"4810.44788","-0.25128"
"4809.48367","-0.2513"
"4808.51946","-0.25127"
"4807.55525","-0.25132"
"4806.59104","-0.25145"
"4805.62682","-0.25154"
"4804.66261","-0.25151"
"4803.6984","-0.25141"
"4802.73419","-0.25127"
"4801.76998","-0.25113"
"4800.80577","-0.25112"
"4799.84156","-0.25115"
"4798.87735","-0.25103"
"4797.91314","-0.25094"
"4796.94893","-0.25102"
"4795.98472","-0.25113"
"4795.02051","-0.25132"
"4794.05629","-0.25155"
"4793.09208","-0.25164"
"4792.12787","-0.25165"
"4791.16366","-0.25158"
"4790.19945","-0.25136"
"4789.23524","-0.25104"
"4788.27103","-0.25081"
"4787.30682","-0.25082"
"4786.34261","-0.25095"
"4785.3784","-0.25104"
"4784.41419","-0.2511"
"4783.44997","-0.25119"
"4782.48576","-0.25125"
"4781.52155","-0.25125"
"4780.55734","-0.25124"
