"Wavenumber","Intensity"
"5500.82284","-0.21059"
"5499.85863","-0.2142"
"5498.89442","-0.22137"
"5497.93021","-0.22769"
"5496.966","-0.22996"
"5496.00179","-0.22757"
"5495.03757","-0.2265"
"5494.07336","-0.23364"
"5493.10915","-0.24342"
"5492.14494","-0.24386"
"5491.18073","-0.2368"
"5490.21652","-0.23231"
"5489.25231","-0.23259"
"5488.2881","-0.23282"
"5487.32389","-0.23014"
"5486.35968","-0.22609"
"5485.39547","-0.22403"
"5484.43126","-0.22572"
"5483.46704","-0.22964"
"5482.50283","-0.23284"
"5481.53862","-0.234"
"5480.57441","-0.23406"
"5479.6102","-0.23413"
"5478.64599","-0.23385"
"5477.68178","-0.23142"
"5476.71757","-0.22571"
"5475.75336","-0.22023"
"5474.78915","-0.22122"
"5473.82494","-0.22841"
"5472.86073","-0.23645"
"5471.89651","-0.24303"
"5470.9323","-0.24704"
"5469.96809","-0.24643"
"5469.00388","-0.24175"
"5468.03967","-0.23594"
"5467.07546","-0.2317"
"5466.11125","-0.23064"
"5465.14704","-0.23237"
"5464.18283","-0.23505"
"5463.21862","-0.23749"
"5462.25441","-0.23933"
"5461.2902","-0.24019"
"5460.32598","-0.23995"
"5459.36177","-0.23916"
"5458.39756","-0.23827"
"5457.43335","-0.23672"
"5456.46914","-0.23395"
"5455.50493","-0.23152"
"5454.54072","-0.23188"
"5453.57651","-0.23481"
"5452.6123","-0.23725"
"5451.64809","-0.23763"
"5450.68388","-0.2379"
"5449.71967","-0.23959"
"5448.75545","-0.2412"
"5447.79124","-0.24094"
"5446.82703","-0.23905"
"5445.86282","-0.23726"
"5444.89861","-0.23755"
"5443.9344","-0.24049"
"5442.97019","-0.24435"
"5442.00598","-0.24643"
"5441.04177","-0.24574"
"5440.07756","-0.244"
"5439.11335","-0.24263"
"5438.14913","-0.2414"
"5437.18492","-0.24076"
"5436.22071","-0.24181"
"5435.2565","-0.24419"
"5434.29229","-0.24597"
"5433.32808","-0.24527"
"5432.36387","-0.24232"
"5431.39966","-0.23925"
"5430.43545","-0.23786"
"5429.47124","-0.23834"
"5428.50703","-0.23979"
"5427.54282","-0.24128"
"5426.5786","-0.24289"
"5425.61439","-0.24484"
"5424.65018","-0.24625"
"5423.68597","-0.24624"
"5422.72176","-0.24512"
"5421.75755","-0.24368"
"5420.79334","-0.24258"
"5419.82913","-0.24244"
"5418.86492","-0.24324"
"5417.90071","-0.24412"
"5416.9365","-0.24464"
"5415.97229","-0.24537"
"5415.00807","-0.24625"
"5414.04386","-0.24628"
"5413.07965","-0.24578"
"5412.11544","-0.2457"
"5411.15123","-0.24585"
"5410.18702","-0.24592"
"5409.22281","-0.24559"
"5408.2586","-0.24477"
"5407.29439","-0.24419"
"5406.33018","-0.24459"
"5405.36597","-0.24603"
"5404.40176","-0.24794"
"5403.43754","-0.24952"
"5402.47333","-0.25015"
"5401.50912","-0.24955"
"5400.54491","-0.24816"
"5399.5807","-0.24688"
"5398.61649","-0.24613"
"5397.65228","-0.24549"
"5396.68807","-0.24462"
"5395.72386","-0.24413"
"5394.75965","-0.24454"
"5393.79544","-0.24536"
"5392.83123","-0.24623"
"5391.86701","-0.24725"
"5390.9028","-0.24831"
"5389.93859","-0.24888"
"5388.97438","-0.24845"
"5388.01017","-0.24738"
"5387.04596","-0.24686"
"5386.08175","-0.24745"
"5385.11754","-0.24859"
"5384.15333","-0.24932"
"5383.18912","-0.24919"
"5382.22491","-0.24862"
"5381.2607","-0.24799"
"5380.29648","-0.24721"
"5379.33227","-0.24653"
"5378.36806","-0.24631"
"5377.40385","-0.24637"
"5376.43964","-0.24664"
"5375.47543","-0.24711"
"5374.51122","-0.24742"
"5373.54701","-0.2477"
"5372.5828","-0.24819"
"5371.61859","-0.24839"
"5370.65438","-0.24785"
"5369.69017","-0.24694"
"5368.72595","-0.24653"
"5367.76174","-0.2471"
"5366.79753","-0.24809"
"5365.83332","-0.24859"
"5364.86911","-0.24829"
"5363.9049","-0.24763"
"5362.94069","-0.24711"
"5361.97648","-0.24664"
"5361.01227","-0.24609"
"5360.04806","-0.24575"
"5359.08385","-0.24568"
"5358.11964","-0.24569"
"5357.15542","-0.24613"
"5356.19121","-0.24712"
"5355.227","-0.24782"
"5354.26279","-0.24755"
"5353.29858","-0.2469"
"5352.33437","-0.24671"
"5351.37016","-0.24694"
"5350.40595","-0.24703"
"5349.44174","-0.24678"
"5348.47753","-0.2467"
"5347.51332","-0.24743"
"5346.54911","-0.24877"
"5345.58489","-0.24969"
"5344.62068","-0.24959"
"5343.65647","-0.24922"
"5342.69226","-0.24921"
"5341.72805","-0.2493"
"5340.76384","-0.24917"
"5339.79963","-0.24851"
"5338.83542","-0.24718"
"5337.87121","-0.24614"
"5336.907","-0.24617"
"5335.94279","-0.24669"
"5334.97858","-0.24734"
"5334.01436","-0.24836"
"5333.05015","-0.24951"
"5332.08594","-0.25011"
"5331.12173","-0.24988"
"5330.15752","-0.24917"
"5329.19331","-0.24864"
"5328.2291","-0.24857"
"5327.26489","-0.24861"
"5326.30068","-0.24854"
"5325.33647","-0.24844"
"5324.37226","-0.24844"
"5323.40805","-0.2488"
"5322.44383","-0.2495"
"5321.47962","-0.24994"
"5320.51541","-0.24952"
"5319.5512","-0.2485"
"5318.58699","-0.24774"
"5317.62278","-0.24775"
"5316.65857","-0.24829"
"5315.69436","-0.24883"
"5314.73015","-0.24898"
"5313.76594","-0.2489"
"5312.80173","-0.24902"
"5311.83752","-0.24926"
"5310.8733","-0.24899"
