Wavenumber,Intensity
5500.82284,-0.07608
5499.85863,-0.07379
5498.89442,-0.07727
5497.93021,-0.08101
5496.966,-0.08193
5496.00179,-0.08149
5495.03757,-0.08079
5494.07336,-0.08428
5493.10915,-0.09601
5492.14494,-0.10725
5491.18073,-0.10566
5490.21652,-0.09449
5489.25231,-0.08395
5488.2881,-0.07826
5487.32389,-0.07619
5486.35968,-0.07511
5485.39547,-0.0742
5484.43126,-0.0745
5483.46704,-0.07573
5482.50283,-0.07744
5481.53862,-0.08092
5480.57441,-0.08575
5479.6102,-0.08882
5478.64599,-0.08905
5477.68178,-0.08787
5476.71757,-0.08502
5475.75336,-0.07913
5474.78915,-0.07358
5473.82494,-0.07492
5472.86073,-0.08219
5471.89651,-0.089
5470.9323,-0.09363
5469.96809,-0.09685
5469.00388,-0.09715
5468.03967,-0.0936
5467.07546,-0.08738
5466.11125,-0.08058
5465.14704,-0.07632
5464.18283,-0.07713
5463.21862,-0.08197
5462.25441,-0.08656
5461.2902,-0.08773
5460.32598,-0.08579
5459.36177,-0.08355
5458.39756,-0.08321
5457.43335,-0.08388
5456.46914,-0.08348
5455.50493,-0.08162
5454.54072,-0.0802
5453.57651,-0.08106
5452.6123,-0.083
5451.64809,-0.08291
5450.68388,-0.08051
5449.71967,-0.07884
5448.75545,-0.07967
5447.79124,-0.08161
5446.82703,-0.08262
5445.86282,-0.08212
5444.89861,-0.08138
5443.9344,-0.08232
5442.97019,-0.08552
5442.00598,-0.08941
5441.04177,-0.09103
5440.07756,-0.0894
5439.11335,-0.08718
5438.14913,-0.08601
5437.18492,-0.08488
5436.22071,-0.0841
5435.2565,-0.08543
5434.29229,-0.08824
5433.32808,-0.08933
5432.36387,-0.08725
5431.39966,-0.08394
5430.43545,-0.08191
5429.47124,-0.08168
5428.50703,-0.08218
5427.54282,-0.08275
5426.5786,-0.08362
5425.61439,-0.08494
5424.65018,-0.08647
5423.68597,-0.08752
5422.72176,-0.08733
5421.75755,-0.08609
5420.79334,-0.08487
5419.82913,-0.0845
5418.86492,-0.08536
5417.90071,-0.08702
5416.9365,-0.08828
5415.97229,-0.08842
5415.00807,-0.08804
5414.04386,-0.08745
5413.07965,-0.0863
5412.11544,-0.08542
5411.15123,-0.0857
5410.18702,-0.08634
5409.22281,-0.08634
5408.2586,-0.08548
5407.29439,-0.08426
5406.33018,-0.08385
5405.36597,-0.08485
5404.40176,-0.08652
5403.43754,-0.08779
5402.47333,-0.08835
5401.50912,-0.08868
5400.54491,-0.08903
5399.5807,-0.08913
5398.61649,-0.08897
5397.65228,-0.08875
5396.68807,-0.08836
5395.72386,-0.08745
5394.75965,-0.08613
5393.79544,-0.08502
5392.83123,-0.08468
5391.86701,-0.0851
5390.9028,-0.08588
5389.93859,-0.0869
5388.97438,-0.08797
5388.01017,-0.08849
5387.04596,-0.08834
5386.08175,-0.08836
5385.11754,-0.08901
5384.15333,-0.0896
5383.18912,-0.08935
5382.22491,-0.08856
5381.2607,-0.08802
5380.29648,-0.08768
5379.33227,-0.08715
5378.36806,-0.08669
5377.40385,-0.08646
5376.43964,-0.08593
5375.47543,-0.0853
5374.51122,-0.08528
5373.54701,-0.08575
5372.5828,-0.08636
5371.61859,-0.08685
5370.65438,-0.08698
5369.69017,-0.08678
5368.72595,-0.08652
5367.76174,-0.08674
5366.79753,-0.08778
5365.83332,-0.08891
5364.86911,-0.08896
5363.9049,-0.08775
