Wavenumber,Intensity
5500.82284,-0.04634
5499.85863,-0.04848
5498.89442,-0.05018
5497.93021,-0.05135
5496.966,-0.05113
5496.00179,-0.04835
5495.03757,-0.04382
5494.07336,-0.04075
5493.10915,-0.04269
5492.14494,-0.05064
5491.18073,-0.06
5490.21652,-0.06338
5489.25231,-0.05866
5488.2881,-0.04975
5487.32389,-0.04247
5486.35968,-0.04141
5485.39547,-0.04588
5484.43126,-0.04975
5483.46704,-0.04912
5482.50283,-0.04667
5481.53862,-0.04609
5480.57441,-0.04717
5479.6102,-0.04819
5478.64599,-0.04885
5477.68178,-0.04978
5476.71757,-0.05105
5475.75336,-0.05132
5474.78915,-0.04925
5473.82494,-0.04668
5472.86073,-0.04646
5471.89651,-0.04744
5470.9323,-0.04672
5469.96809,-0.04495
5469.00388,-0.04561
5468.03967,-0.0484
5467.07546,-0.04952
5466.11125,-0.04863
5465.14704,-0.04834
5464.18283,-0.04865
5463.21862,-0.04816
5462.25441,-0.04751
5461.2902,-0.04754
5460.32598,-0.04702
5459.36177,-0.04532
5458.39756,-0.04407
5457.43335,-0.04437
5456.46914,-0.04558
5455.50493,-0.04727
5454.54072,-0.04965
5453.57651,-0.05196
5452.6123,-0.05248
5451.64809,-0.05063
5450.68388,-0.04804
5449.71967,-0.04702
5448.75545,-0.04776
5447.79124,-0.04839
5446.82703,-0.04826
5445.86282,-0.04834
5444.89861,-0.04914
5443.9344,-0.05047
5442.97019,-0.05206
5442.00598,-0.05341
5441.04177,-0.05399
5440.07756,-0.05383
5439.11335,-0.0534
5438.14913,-0.05284
5437.18492,-0.05228
5436.22071,-0.05229
5435.2565,-0.05281
5434.29229,-0.05287
5433.32808,-0.05221
5432.36387,-0.05141
5431.39966,-0.05065
5430.43545,-0.05013
5429.47124,-0.05003
5428.50703,-0.05
5427.54282,-0.04991
5426.5786,-0.04982
5425.61439,-0.04945
5424.65018,-0.04883
5423.68597,-0.04834
5422.72176,-0.04806
5421.75755,-0.04772
5420.79334,-0.04718
5419.82913,-0.04688
5418.86492,-0.04724
5417.90071,-0.04783
5416.9365,-0.04806
5415.97229,-0.04792
5415.00807,-0.04768
5414.04386,-0.04722
5413.07965,-0.04631
5412.11544,-0.04543
5411.15123,-0.04512
5410.18702,-0.04504
5409.22281,-0.04503
5408.2586,-0.04557
5407.29439,-0.04655
5406.33018,-0.04722
5405.36597,-0.04729
5404.40176,-0.04709
5403.43754,-0.04683
5402.47333,-0.04636
5401.50912,-0.0458
5400.54491,-0.04566
5399.5807,-0.04618
5398.61649,-0.04688
5397.65228,-0.04704
5396.68807,-0.04658
5395.72386,-0.04602
5394.75965,-0.04575
5393.79544,-0.0456
5392.83123,-0.04542
5391.86701,-0.04558
5390.9028,-0.04626
5389.93859,-0.04684
5388.97438,-0.04684
5388.01017,-0.04642
5387.04596,-0.04591
5386.08175,-0.04537
5385.11754,-0.04493
5384.15333,-0.04491
5383.18912,-0.04529
5382.22491,-0.04566
5381.2607,-0.04588
