"X","Y"
"-16.778","-0.33"
"-12.919","0"
"-9.063","-1.67"
"-5.209","-0.33"
"-1.359","-740.33"
"2.488","-327.67"
"6.332","-40.33"
"10.173","-14.67"
"14.012","-8"
"17.847","-6.67"
"21.679","-2.67"
"25.508","-3.67"
"29.335","-1.67"
"33.158","0"
"36.979","-1"
"40.796","-1.33"
"44.611","-3"
"48.423","1.33"
"52.231","-2"
"56.037","-2.33"
"59.84","3.33"
"63.64","-2.67"
"67.437","2"
"71.231","-0.67"
"75.022","-1.67"
"78.81","-1"
"82.596","2.67"
"86.378","-1.67"
"90.158","-1.33"
"93.934","-0.33"
"97.708","0.33"
"101.479","-1.67"
"105.247","1.67"
"109.012","-1.67"
"112.774","2"
"116.533","-3.67"
"120.289","-4"
"124.043","-2"
"127.793","-0.33"
"131.541","-5"
"135.286","-2"
"139.028","-1.67"
"142.767","-6"
"146.503","-12.33"
"150.237","-6.67"
"153.967","-9.33"
"157.695","-20.67"
"161.42","-21"
"165.142","-15.33"
"168.861","-28"
"172.577","-28"
"176.291","-23.33"
"180.002","-30"
"183.709","-26.33"
"187.414","-21.33"
"191.117","-22.33"
"194.816","-16.33"
"198.512","-4.67"
"202.206","6.33"
"205.897","13.33"
"209.585","26"
"213.27","30.67"
"216.953","25"
"220.633","26.33"
"224.309","31.67"
"227.984","36.67"
"231.655","24.67"
"235.323","19.33"
"238.989","8"
"242.652","6"
"246.312","3.33"
"249.97","-8"
"253.624","-3.33"
"257.276","-1"
"260.925","14.67"
"264.571","30.67"
"268.215","82.33"
"271.856","124.33"
"275.494","127.67"
"279.129","109.67"
"282.762","46"
"286.391","0"
"290.018","-17.67"
"293.643","-29.67"
"297.264","-41.67"
"300.883","-42.33"
"304.499","-50.67"
"308.112","-45.67"
"311.723","-45.67"
"315.331","-58.33"
"318.936","-57.33"
"322.538","-57.33"
"326.138","-58.67"
"329.735","-51.33"
"333.33","-53"
"336.921","-46"
"340.51","-40.67"
"344.096","-37.67"
"347.68","-26.67"
"351.261","10"
"354.839","43.67"
"358.414","83.33"
"361.987","74.33"
"365.557","9.33"
"369.124","-25.67"
"372.689","-50.33"
"376.251","-64"
"379.81","-70"
"383.367","-67.67"
"386.921","-62.67"
"390.472","-70.33"
"394.021","-71"
"397.567","-69.67"
"401.11","-72"
"404.651","-75"
"408.189","-73.33"
"411.724","-80.67"
"415.257","-75.67"
"418.787","-75.67"
"422.315","-81.33"
"425.839","-74.33"
"429.362","-77"
"432.881","-72.33"
"436.398","-76.67"
"439.912","-74.67"
"443.424","-75"
"446.933","-80"
"450.439","-78"
"453.943","-85.67"
"457.444","-85"
"460.943","-88"
"464.439","-91.33"
"467.932","-80.33"
"471.423","-87"
"474.911","-82.33"
"478.397","-88"
"481.88","-83.33"
"485.36","-86"
"488.838","-84.67"
"492.313","-83.67"
"495.786","-82.33"
"499.256","-84"
"502.723","-88"
"506.188","-84"
"509.651","-86.67"
"513.11","-83.67"
"516.567","-79.33"
"520.022","-73"
"523.474","-58"
"526.924","-30"
"530.37","1.67"
"533.815","3"
"537.257","-30.67"
"540.696","-55.67"
"544.133","-73.33"
"547.567","-84.67"
"550.998","-82.33"
"554.428","-87.33"
"557.854","-83.33"
"561.278","-86.33"
"564.7","-89.67"
"568.119","-80.33"
"571.535","-77.67"
"574.949","-58.33"
"578.36","-55.33"
"581.769","-55"
"585.175","-72"
"588.579","-78.67"
"591.981","-91.33"
"595.379","-88"
"598.776","-92.67"
"602.17","-95"
"605.561","-93"
"608.95","-104"
"612.336","-95.67"
"615.72","-97"
"619.101","-98.67"
"622.48","-93.33"
"625.856","-96"
"629.23","-98.67"
"632.602","-96.67"
"635.971","-95.33"
"639.337","-100"
"642.701","-101.67"
"646.062","-98"
"649.421","-98.67"
"652.778","-99"
"656.132","-101"
"659.484","-100.33"
"662.833","-99.33"
"666.18","-92.67"
"669.524","-98"
"672.866","-100.33"
"676.205","-106.33"
"679.542","-101.33"
"682.877","-103"
"686.209","-105.33"
"689.538","-101"
"692.865","-99.67"
"696.19","-103.67"
"699.512","-106"
"702.832","-102"
"706.15","-102.67"
"709.465","-99.33"
"712.777","-104.67"
"716.087","-107.33"
"719.395","-102"
"722.701","-98.33"
"726.004","-103.33"
"729.304","-109.33"
"732.602","-108.67"
"735.898","-107"
"739.191","-103.67"
"742.482","-100.67"
"745.771","-105.33"
"749.057","-102"
"752.341","-98"
"755.622","-97"
"758.901","-99.33"
"762.177","-99.67"
"765.452","-96"
"768.723","-104"
"771.993","-98.33"
"775.26","-94.67"
"778.525","-97"
"781.787","-100.67"
"785.047","-97.67"
"788.304","-93.67"
"791.56","-94"
"794.812","-92.33"
"798.063","-95"
"801.311","-79.67"
"804.557","-78.67"
"807.8","-77.67"
"811.041","-77.67"
"814.28","-67.33"
"817.516","-63"
"820.751","-51"
"823.982","-25.67"
"827.212","2.33"
"830.439","15.67"
"833.663","83.33"
"836.886","179.67"
"840.106","257"
"843.323","255.33"
"846.539","164"
"849.752","83"
"852.963","76.33"
"856.171","107"
"859.377","85.67"
"862.581","16"
"865.782","-32"
"868.982","-61.33"
"872.179","-76"
"875.373","-82.33"
"878.565","-82"
"881.755","-84.67"
"884.943","-85.33"
"888.128","-81.33"
"891.311","-87"
"894.492","-89.67"
"897.671","-91"
"900.847","-94.67"
"904.021","-92.67"
"907.193","-93.33"
"910.362","-100.67"
"913.529","-87.33"
"916.694","-95"
"919.856","-85"
"923.017","-81"
"926.175","-75.67"
"929.331","-72.33"
"932.484","-73"
"935.635","-84.67"
"938.784","-83.33"
"941.931","-74.67"
"945.075","-84"
"948.218","-91"
"951.358","-92.33"
"954.495","-97.67"
"957.631","-94.33"
"960.764","-100.33"
"963.895","-98.67"
"967.024","-101.33"
"970.15","-104"
"973.274","-103.33"
"976.397","-104.67"
"979.516","-101.67"
"982.634","-99.67"
"985.749","-106.33"
"988.862","-102.67"
"991.973","-97.67"
"995.082","-102"
"998.188","-99.67"
"1001.293","-100.33"
"1004.395","-104.67"
"1007.495","-99.67"
"1010.592","-103"
"1013.688","-97"
"1016.781","-98"
"1019.872","-95"
"1022.961","-95"
"1026.047","-91.33"
"1029.132","-92.67"
"1032.214","-97.33"
"1035.294","-91.33"
"1038.372","-96"
"1041.448","-85.33"
"1044.521","-85.33"
"1047.592","-76.67"
"1050.661","-67.33"
"1053.728","-38"
"1056.793","0"
"1059.856","21.67"
"1062.916","8.33"
"1065.974","-14.33"
"1069.03","-21.67"
"1072.084","-44.33"
"1075.136","-55.33"
"1078.186","-71.33"
"1081.233","-76.67"
"1084.278","-75.67"
"1087.321","-82"
"1090.362","-88.67"
"1093.401","-79.67"
"1096.438","-80.67"
"1099.472","-79"
"1102.505","-78"
"1105.535","-69.67"
"1108.563","-66.67"
"1111.589","-52.67"
"1114.613","-42"
"1117.634","-18"
"1120.654","8"
"1123.671","26.67"
"1126.687","24.67"
"1129.7","7.33"
"1132.711","28"
"1135.72","70"
"1138.726","101"
"1141.731","89.67"
"1144.734","58.33"
"1147.734","11.67"
"1150.732","-22"
"1153.728","-54"
"1156.723","-69.67"
"1159.715","-83.67"
"1162.704","-90"
"1165.692","-88"
"1168.678","-92.33"
"1171.661","-93.67"
"1174.643","-95.33"
"1177.622","-91.67"
"1180.6","-99.67"
"1183.575","-95.33"
"1186.548","-101"
"1189.519","-103"
"1192.488","-102.67"
"1195.455","-99"
"1198.42","-98"
"1201.382","-103.33"
"1204.343","-100.67"
"1207.301","-97.33"
"1210.258","-95.67"
"1213.212","-92"
"1216.165","-91.67"
"1219.115","-77.67"
"1222.063","-53"
"1225.009","-11.67"
"1227.953","24.67"
"1230.895","52.33"
"1233.835","43"
"1236.773","22"
"1239.709","-18.33"
"1242.643","-43.33"
"1245.575","-68.33"
"1248.504","-80.67"
"1251.432","-87.33"
"1254.358","-73.33"
"1257.281","-77"
"1260.203","-69"
"1263.122","-53.33"
"1266.04","-30"
"1268.955","24.67"
"1271.869","108.67"
"1274.78","177.67"
"1277.689","227.67"
"1280.597","208"
"1283.502","142.67"
"1286.405","71.33"
"1289.306","13.33"
"1292.206","-28"
"1295.103","-53.33"
"1297.998","-73.67"
"1300.891","-91.33"
"1303.782","-92.67"
"1306.672","-106.67"
"1309.559","-105.33"
"1312.444","-107.67"
"1315.327","-110.33"
"1318.208","-110.67"
"1321.087","-110.33"
"1323.965","-111.33"
"1326.84","-111.33"
"1329.713","-119.67"
"1332.584","-114.67"
"1335.453","-118.33"
"1338.32","-114"
"1341.186","-114.67"
"1344.049","-112.67"
"1346.91","-111"
"1349.769","-112.33"
"1352.627","-106.67"
"1355.482","-108.33"
"1358.335","-94.33"
"1361.187","-95.67"
"1364.036","-108.67"
"1366.883","-118.33"
"1369.729","-108.67"
"1372.572","-112.67"
"1375.414","-111.67"
"1378.253","-119.67"
"1381.091","-114.33"
"1383.926","-107.33"
"1386.76","-104.67"
"1389.592","-79"
"1392.422","-70.33"
"1395.249","-69.33"
"1398.075","-85.67"
"1400.899","-111.67"
"1403.721","-113"
"1406.541","-117.67"
"1409.359","-116.33"
"1412.175","-110.67"
"1414.99","-111.67"
"1417.802","-114.67"
"1420.612","-113.67"
"1423.421","-115"
"1426.227","-103"
"1429.032","-104"
"1431.834","-92"
"1434.635","-84.67"
"1437.434","-67.67"
"1440.23","-51"
"1443.025","-42.67"
"1445.818","-41.67"
"1448.609","-49.67"
"1451.398","-58.33"
"1454.186","-56.33"
"1456.971","-65"
"1459.754","-48"
"1462.536","-17.33"
"1465.315","40"
"1468.093","82"
"1470.869","104"
"1473.643","137.67"
"1476.415","174.67"
"1479.185","177.33"
"1481.953","174.33"
"1484.719","140"
"1487.484","70.33"
"1490.246","-5"
"1493.007","-59.33"
"1495.766","-78.33"
"1498.522","-92.67"
"1501.277","-104"
"1504.031","-114.33"
"1506.782","-108.67"
"1509.531","-124.33"
"1512.278","-120"
"1515.024","-113.67"
"1517.768","-120.67"
"1520.51","-124.33"
"1523.249","-126.33"
"1525.988","-126.67"
"1528.724","-128.33"
"1531.458","-128.33"
"1534.191","-133"
"1536.921","-125"
"1539.65","-136.33"
"1542.377","-127.67"
"1545.102","-128"
"1547.825","-131.67"
"1550.546","-128"
"1553.266","-131"
"1555.984","-131.33"
"1558.699","-131"
"1561.413","-126"
"1564.125","-135"
"1566.836","-139"
"1569.544","-127.33"
"1572.251","-133"
"1574.955","-130"
"1577.658","-129.67"
"1580.359","-128.67"
"1583.058","-134.33"
"1585.756","-135.67"
"1588.451","-125"
"1591.145","-133.67"
"1593.837","-130.33"
"1596.527","-145.67"
"1599.215","-136.33"
"1601.902","-139.33"
"1604.586","-134"
"1607.269","-136"
"1609.95","-133"
"1612.629","-139.33"
"1615.307","-134"
"1617.982","-139"
"1620.656","-133"
"1623.328","-140"
"1625.998","-137.33"
"1628.666","-135.33"
"1631.333","-139.33"
"1633.997","-132"
"1636.66","-135"
"1639.321","-135.33"
"1641.981","-136"
"1644.638","-136"
"1647.294","-135"
"1649.948","-134.67"
"1652.6","-131"
"1655.25","-129.33"
"1657.899","-138.33"
"1660.545","-136.33"
"1663.19","-136.33"
"1665.834","-134.33"
"1668.475","-135"
"1671.115","-127.67"
"1673.752","-139"
"1676.389","-135.33"
"1679.023","-129.67"
"1681.655","-135.67"
"1684.286","-131.33"
"1686.915","-137"
"1689.542","-142.67"
"1692.168","-131.67"
"1694.791","-138"
"1697.413","-138.33"
"1700.033","-137.33"
"1702.652","-129.33"
"1705.269","-139"
"1707.883","-140"
"1710.497","-136"
"1713.108","-141"
"1715.717","-140.33"
"1718.325","-143"
