"X","Y"
"-16.778","1.33"
"-12.919","-0.33"
"-9.063","-1.33"
"-5.209","-0.67"
"-1.359","-743.33"
"2.488","-326.67"
"6.332","-42.33"
"10.173","-12"
"14.012","-3.67"
"17.847","-3.33"
"21.679","0"
"25.508","-1.33"
"29.335","-1"
"33.158","-1"
"36.979","4.33"
"40.796","-1.33"
"44.611","3.67"
"48.423","0.67"
"52.231","3.67"
"56.037","0.33"
"59.84","3"
"63.64","1.33"
"67.437","4"
"71.231","1.67"
"75.022","3"
"78.81","1.67"
"82.596","0.33"
"86.378","3.33"
"90.158","2.33"
"93.934","3.67"
"97.708","2.67"
"101.479","4"
"105.247","4.67"
"109.012","5.67"
"112.774","7.67"
"116.533","4.67"
"120.289","4.33"
"124.043","12.33"
"127.793","13.67"
"131.541","20.67"
"135.286","34.67"
"139.028","64"
"142.767","112"
"146.503","174.33"
"150.237","271"
"153.967","368.67"
"157.695","462.67"
"161.42","528"
"165.142","566.33"
"168.861","584.67"
"172.577","591.33"
"176.291","596.67"
"180.002","615"
"183.709","613"
"187.414","619.67"
"191.117","620.67"
"194.816","606.33"
"198.512","614"
"202.206","620"
"205.897","631.67"
"209.585","636"
"213.27","633"
"216.953","625.33"
"220.633","633.67"
"224.309","636.33"
"227.984","628.33"
"231.655","627"
"235.323","621.33"
"238.989","635"
"242.652","650.67"
"246.312","638.67"
"249.97","639"
"253.624","637.33"
"257.276","646.67"
"260.925","643.67"
"264.571","657.33"
"268.215","646"
"271.856","639.33"
"275.494","632.33"
"279.129","651"
"282.762","629"
"286.391","636.33"
"290.018","637.33"
"293.643","641.67"
"297.264","638.67"
"300.883","625.33"
"304.499","629"
"308.112","629"
"311.723","637.67"
"315.331","616.33"
"318.936","631"
"322.538","637.33"
"326.138","618"
"329.735","627"
"333.33","627"
"336.921","627"
"340.51","632"
"344.096","640"
"347.68","637.33"
"351.261","645.67"
"354.839","637"
"358.414","642.33"
"361.987","640.33"
"365.557","641.33"
"369.124","632.67"
"372.689","645.67"
"376.251","633"
"379.81","646"
"383.367","650"
"386.921","643.67"
"390.472","637.33"
"394.021","656.67"
"397.567","650.67"
"401.11","655.33"
"404.651","658.33"
"408.189","659.33"
"411.724","649.67"
"415.257","646.67"
"418.787","656.33"
"422.315","654.33"
"425.839","664"
"429.362","671"
"432.881","664"
"436.398","656.33"
"439.912","657.33"
"443.424","662.67"
"446.933","659.67"
"450.439","660.33"
"453.943","666.33"
"457.444","674"
"460.943","673"
"464.439","676.33"
"467.932","699"
"471.423","686"
"474.911","689"
"478.397","689.33"
"481.88","701"
"485.36","708.33"
"488.838","709"
"492.313","691.67"
"495.786","697.33"
"499.256","680.67"
"502.723","675.67"
"506.188","682"
"509.651","663.67"
"513.11","655"
"516.567","675"
"520.022","668"
"523.474","656"
"526.924","676.67"
"530.37","696.67"
"533.815","684.67"
"537.257","689"
"540.696","682.67"
"544.133","684.67"
"547.567","679"
"550.998","682"
"554.428","677"
"557.854","678.67"
"561.278","670.67"
"564.7","670.67"
"568.119","677"
"571.535","664"
"574.949","660.67"
"578.36","642.67"
"581.769","650"
"585.175","665"
"588.579","659"
"591.981","656.33"
"595.379","656"
"598.776","650.33"
"602.17","654.67"
"605.561","669.33"
"608.95","644.67"
"612.336","649.33"
"615.72","652.67"
"619.101","659.67"
"622.48","644"
"625.856","637"
"629.23","637.67"
"632.602","638.33"
"635.971","637.67"
"639.337","636.67"
"642.701","625"
"646.062","637.33"
"649.421","625.33"
"652.778","627.67"
"656.132","632"
"659.484","646.33"
"662.833","641.67"
"666.18","645.33"
"669.524","637.33"
"672.866","642.67"
"676.205","633"
"679.542","625.67"
"682.877","644.33"
"686.209","633.67"
"689.538","636.67"
"692.865","631.33"
"696.19","623"
"699.512","627.67"
"702.832","624"
"706.15","617"
"709.465","623"
"712.777","616.67"
"716.087","597"
"719.395","605.33"
"722.701","613"
"726.004","598"
"729.304","600"
"732.602","601.33"
"735.898","599"
"739.191","601.33"
"742.482","603.33"
"745.771","601"
"749.057","598"
"752.341","602"
"755.622","602"
"758.901","611.33"
"762.177","596.33"
"765.452","618.33"
