Wavenumber,Intensity
-16.778,-0.33
-12.919,-0.67
-9.063,1.33
-5.209,-1.33
-1.359,40.67
2.488,36.33
6.332,31.33
10.173,35.67
14.012,34
17.847,32.67
21.679,34.67
25.508,40.67
29.335,39.33
33.158,40
36.979,41.67
40.796,42.67
44.611,41.33
48.423,42.67
52.231,44.67
56.037,49.33
59.84,49
63.64,56
67.437,58.33
71.231,63.67
75.022,63.67
78.81,69
82.596,74.33
86.378,81
90.158,86.33
93.934,90.33
97.708,98
101.479,102.67
105.247,118.33
109.012,131.33
112.774,145.33
116.533,172.33
120.289,200.33
124.043,264.67
127.793,368
131.541,600
135.286,1043.33
139.028,1834.33
142.767,3079.33
146.503,4828
150.237,6966.67
153.967,9245.67
157.695,11243
161.42,12766.33
165.142,13593.33
168.861,14024.33
172.577,14245
176.291,14336.33
180.002,14429
183.709,14510.33
187.414,14631
191.117,14787
194.816,14931.33
198.512,15020.67
202.206,15182.33
205.897,15372.33
209.585,15520.33
213.27,15711.67
216.953,15971.67
220.633,16157.33
224.309,16125.33
227.984,16022
231.655,15834
235.323,15733.67
238.989,15643.67
242.652,15705
246.312,15754.67
249.97,15728
253.624,15655.67
257.276,15674.33
260.925,15618.33
264.571,15628.33
268.215,15630.33
271.856,15566
275.494,15559
279.129,15478.67
282.762,15390.67
286.391,15320.33
290.018,15350.67
293.643,15369
297.264,15306
300.883,15423.67
304.499,15442.33
308.112,15452
311.723,15429.33
315.331,15339.67
318.936,15320.67
322.538,15310.33
326.138,15290
329.735,15346.33
333.33,15408
336.921,15422.33
340.51,15434
344.096,15572.67
347.68,15660.33
351.261,15780.33
354.839,15935.67
358.414,15920.67
361.987,15781.33
365.557,15673.67
369.124,15602.67
372.689,15574.33
376.251,15489.67
379.81,15510.67
383.367,15519.67
386.921,15444
390.472,15521
394.021,15464.67
397.567,15550.33
401.11,15608.33
404.651,15784.67
408.189,15885
411.724,15950
415.257,16061
418.787,16102.67
422.315,16143.33
425.839,16011
429.362,15946
432.881,15938
436.398,15814.67
439.912,15712.33
443.424,15646
446.933,15662.33
450.439,15619.33
453.943,15676.67
457.444,15759.33
460.943,15705.33
464.439,15644.33
467.932,15620.33
471.423,15585.33
474.911,15514.67
478.397,15468.33
481.88,15478
485.36,15447.33
488.838,15405
492.313,15314
495.786,15311.67
499.256,15244
502.723,15207
506.188,15240.67
509.651,15167
513.11,15121.33
516.567,15100.67
520.022,15074
523.474,15077.33
526.924,15002.67
530.37,15035.33
533.815,14991.33
537.257,15001
540.696,15039
544.133,14963.67
547.567,14992
550.998,14999.33
554.428,14995.33
557.854,15017.67
561.278,15017
564.7,14991
568.119,14967.33
571.535,14933.67
574.949,14962
578.36,14921
581.769,14851
585.175,14873
588.579,14793
591.981,14735.33
595.379,14648.33
598.776,14662.33
602.17,14565.33
605.561,14609.67
608.95,14467.67
612.336,14464
615.72,14408.67
619.101,14368.33
622.48,14447
625.856,14458
629.23,14441.67
632.602,14354.33
635.971,14272.67
639.337,14216.33
642.701,14106.33
646.062,14111
649.421,14200.67
652.778,14218.33
656.132,14200.33
659.484,14192.33
662.833,14149.67
666.18,14027.33
669.524,13935.67
672.866,13878.67
676.205,13844.67
679.542,13768
682.877,13742.33
686.209,13764
689.538,13688
692.865,13700.33
696.19,13599.33
699.512,13631.67
702.832,13609.67
706.15,13601
709.465,13564.33
712.777,13488.33
716.087,13462.67
719.395,13389
722.701,13393
726.004,13408.33
729.304,13332.33
732.602,13364.33
735.898,13339.67
739.191,13299.33
742.482,13306.33
745.771,13209.67
749.057,13220.33
752.341,13245
755.622,13271.67
758.901,13260.33
762.177,13324.33
765.452,13318
