Wavenumber,Intensity
-16.778,-0.33
-12.919,-0.33
-9.063,1
-5.209,-0.67
-1.359,159.33
2.488,153.67
6.332,158.33
10.173,159.67
14.012,163
17.847,163
21.679,167.33
25.508,173
29.335,172.67
33.158,183.67
36.979,186.67
40.796,195
44.611,199
48.423,217.33
52.231,223.33
56.037,230
59.84,240.33
63.64,256
67.437,272.67
71.231,286
75.022,308.67
78.81,324
82.596,357.33
86.378,377.33
90.158,401.67
93.934,429
97.708,475.33
101.479,519.67
105.247,575.67
109.012,625.33
112.774,700
116.533,791
120.289,958.67
124.043,1233
127.793,1717.33
131.541,2729.67
135.286,4723.67
139.028,8363.33
142.767,14373
146.503,22886.67
150.237,33599
153.967,44858.67
157.695,54755.67
161.42,62162.33
165.142,66623.33
168.861,69169
172.577,70532.67
176.291,71418.67
180.002,72152.33
183.709,72769.33
187.414,73352
191.117,74121.33
194.816,74565.67
198.512,75031.33
202.206,75522.33
205.897,75576
209.585,75761
213.27,76165.67
216.953,76561.67
220.633,76681.67
224.309,76789
227.984,76831.33
231.655,77112.33
235.323,77330.67
238.989,77731.33
242.652,77891.67
246.312,78006
249.97,77961
253.624,78255
257.276,78293.67
260.925,78321.33
264.571,78274
268.215,78320
271.856,78070
275.494,78115
279.129,77812.67
282.762,77578.67
286.391,77270.33
290.018,76995.67
293.643,76922
297.264,76587.67
300.883,76560.67
304.499,76372.67
308.112,76393
311.723,76228
315.331,76319
318.936,76109.33
322.538,76013.67
326.138,76050.33
329.735,76159.33
333.33,76209.67
336.921,76181.67
340.51,76426
344.096,76433.67
347.68,76570.67
351.261,76714
354.839,76683.33
358.414,76639.33
361.987,76552
365.557,76377.33
369.124,76311.33
372.689,76201
376.251,76070.67
379.81,75892
383.367,75744.67
386.921,75429
390.472,75451.33
394.021,75095
397.567,74920.33
401.11,74864.67
404.651,74610
408.189,74543
411.724,74492.67
415.257,74395
418.787,74444
422.315,74495
425.839,74595.33
429.362,74675
432.881,74661.67
436.398,74568.33
439.912,74544.33
443.424,74607.67
446.933,74742
450.439,74683.67
453.943,74860.67
457.444,74727.67
460.943,74499
464.439,74488
467.932,74489.33
471.423,74209.67
474.911,73664.33
478.397,73226
481.88,72952
485.36,72920.33
488.838,72474.33
492.313,72089
495.786,71690.33
499.256,71656
502.723,71340.67
506.188,71097
509.651,70614
513.11,70191
516.567,70087
520.022,70093.33
523.474,69731.33
526.924,69430.67
530.37,69184.67
533.815,69178
537.257,69067
540.696,68861.67
544.133,68644.33
547.567,68462
550.998,68405.33
554.428,68457.67
557.854,68261.33
561.278,67979
564.7,67915.33
568.119,67671.67
571.535,67429.67
574.949,67208.67
578.36,66885
581.769,66815.33
585.175,66534.33
588.579,66306.33
591.981,65902
595.379,65702
598.776,65341
602.17,65062.33
605.561,64492.33
608.95,64237
612.336,63955.67
615.72,63733.67
619.101,63544.33
622.48,63014.67
625.856,62549.67
629.23,62163.33
632.602,61874.67
635.971,61678.33
639.337,61481
642.701,61166
646.062,61024.67
649.421,60817.33
652.778,60416.67
656.132,60217.33
659.484,60162
662.833,59900.33
666.18,59719
669.524,59502.33
672.866,59387.67
676.205,59095
679.542,58926.67
682.877,58641.33
686.209,58407
689.538,58162
692.865,57919
696.19,57770.33
699.512,57619.33
702.832,57365
706.15,57253
709.465,56784.33
712.777,56394
716.087,56091.67
719.395,55718.67
722.701,55387.33
726.004,55215.67
729.304,55322.33
732.602,54945
735.898,54487.33
739.191,54341.33
742.482,54275.33
745.771,53985.67
749.057,53763
752.341,53660.67
755.622,53510.67
758.901,53444.67
762.177,53486
765.452,53440.67
768.723,53154
771.993,52796.33
775.26,52437
778.525,52349.33
781.787,52004.67
785.047,51754
788.304,51401.33
791.56,51196.33
794.812,50859.33
798.063,50546
801.311,50213
804.557,49867.67
807.8,49552
811.041,49201.67
814.28,48853.33
817.516,48684.33
820.751,48286
823.982,48071
827.212,47846
830.439,47586
833.663,47385.67
836.886,47092.33
840.106,47043
843.323,46951.67
846.539,46735.67
849.752,46532.33
852.963,46342.33
856.171,46099
859.377,46094.33
862.581,45841.33
865.782,45639.67
868.982,45646.33
872.179,45495
875.373,45346.33
878.565,45134.67
881.755,44945
884.943,44730.33
888.128,44562
891.311,44320
894.492,44197.33
897.671,44002.33
900.847,43874
904.021,43603.67
907.193,43279.67
910.362,43108.33
913.529,42911.67
916.694,42660
919.856,42536.67
923.017,42340.67
926.175,42186.33
929.331,42057.33
932.484,41864.33
935.635,41693.67
938.784,41573
941.931,41451.33
945.075,41431.67
948.218,41295.33
951.358,41095
954.495,40838.33
957.631,40724
960.764,40494.33
963.895,40210
967.024,40147
970.15,40110
973.274,39979
976.397,39825.67
979.516,39735
982.634,39497.67
985.749,39488
988.862,39284.67
991.973,39101
995.082,38922
998.188,38643.33
1001.293,38412.33
1004.395,38267.67
1007.495,38067.33
1010.592,37869
1013.688,37780.33
1016.781,37648
1019.872,37514.67
1022.961,37400
1026.047,37289.33
1029.132,37117.33
1032.214,36978
1035.294,36959.33
1038.372,36891
1041.448,36841.67
1044.521,36614.33
1047.592,36486
1050.661,36417.67
1053.728,36295
1056.793,36134.67
1059.856,35872.67
1062.916,35660.67
1065.974,35472
1069.03,35382.67
1072.084,35174.33
1075.136,35061
1078.186,34901
1081.233,34672
1084.278,34650.33
1087.321,34564.33
1090.362,34756
1093.401,34756.33
1096.438,34486.67
1099.472,34224.33
1102.505,33944
1105.535,33825
1108.563,33831.67
1111.589,33835
1114.613,33819.67
1117.634,33627.67
1120.654,33366
1123.671,33136
1126.687,33037.67
1129.7,32999
1132.711,32850.33
1135.72,32694
1138.726,32551.33
1141.731,32411
1144.734,32207.33
1147.734,32007
1150.732,31738.67
1153.728,31566.33
1156.723,31516.67
1159.715,31430
1162.704,31329
1165.692,31341.67
1168.678,31417.67
1171.661,31288
1174.643,31141.33
1177.622,30995.67
1180.6,30955.67
1183.575,31022.67
1186.548,30986.67
1189.519,30955
1192.488,30902
1195.455,30951.33
1198.42,30879.33
1201.382,30779.33
1204.343,30758
1207.301,30742.67
1210.258,30746.33
1213.212,30676.33
1216.165,30670
1219.115,30729.67
1222.063,30723.67
1225.009,30720.67
1227.953,30635.67
1230.895,30514
1233.835,30398
1236.773,30318.67
1239.709,30228.33
1242.643,30141.67
1245.575,30122.33
1248.504,30272.67
1251.432,30496.67
1254.358,30663.33
1257.281,30578.33
1260.203,30352.33
1263.122,30095.33
1266.04,30009.67
1268.955,29823.67
1271.869,29792.33
1274.78,29710.67
1277.689,29684.67
1280.597,29599.33
1283.502,29631.67
1286.405,29721
1289.306,29760
1292.206,29772.67
1295.103,29766.33
1297.998,29831.67
1300.891,30022
1303.782,30137.67
1306.672,30013.67
1309.559,29906.33
1312.444,29693
1315.327,29563.67
1318.208,29346.67
1321.087,29206
1323.965,29124.33
1326.84,28954
1329.713,28879
1332.584,28783
1335.453,28753
1338.32,28786.67
1341.186,28756.33
1344.049,28787.67
1346.91,28840
1349.769,28855.33
1352.627,28929
1355.482,29053
1358.335,29225
1361.187,29193
1364.036,29231.67
1366.883,29177.33
1369.729,29264
1372.572,29430
1375.414,29626.33
1378.253,29812.67
1381.091,29661
1383.926,29346
1386.76,29008.33
1389.592,28852
1392.422,28646.33
1395.249,28632.33
1398.075,28600.33
1400.899,28722.67
1403.721,28448
1406.541,28270.67
1409.359,28158
1412.175,28100.67
1414.99,27954.33
1417.802,27934.67
1420.612,27818.67
1423.421,27827.33
1426.227,27807.67
1429.032,27948
1431.834,28053
1434.635,28088
1437.434,28044.33
1440.23,28117.67
1443.025,28072.67
1445.818,28151.33
1448.609,28185
1451.398,28156.67
1454.186,28182.33
1456.971,28176.67
1459.754,28192
1462.536,28160
1465.315,28028.67
1468.093,27779.67
1470.869,27644.67
1473.643,27595
1476.415,27488
1479.185,27390.67
1481.953,27321
1484.719,27252.67
1487.484,27153
1490.246,27134.67
1493.007,27081.33
1495.766,26984.33
1498.522,26901.33
1501.277,26898
1504.031,26826.33
1506.782,26875.33
1509.531,27055.67
1512.278,27183.67
1515.024,27176.33
1517.768,27000.33
1520.51,26779.33
1523.249,26839.33
1525.988,26767.33
1528.724,26723.33
1531.458,26739
1534.191,26697
1536.921,26665.67
1539.65,26642
1542.377,26544.67
1545.102,26499.67
1547.825,26416
1550.546,26405.33
1553.266,26374
1555.984,26374.67
1558.699,26240
1561.413,26220.67
1564.125,26099.67
1566.836,26058.33
1569.544,25904
1572.251,25818
1574.955,25872
1577.658,25773.33
1580.359,25833.33
1583.058,25844.67
1585.756,25824.33
1588.451,25954.67
1591.145,26218.67
1593.837,26745.67
1596.527,27597.33
1599.215,28748
1601.902,29442.33
1604.586,29041
1607.269,27934.67
1609.95,26884.67
1612.629,26355.67
1615.307,26074
1617.982,25893.67
1620.656,25704.33
1623.328,25385.67
1625.998,25299.33
1628.666,25266
1631.333,25177.33
1633.997,25031.67
1636.66,24951.67
1639.321,24916
1641.981,24783.67
1644.638,24798.33
1647.294,24723
1649.948,24584.67
1652.6,24548.67
1655.25,24535.33
1657.899,24461.33
1660.545,24245.33
1663.19,24237.33
1665.834,24191
1668.475,24093.33
1671.115,24075.67
1673.752,23904.67
1676.389,23879.33
1679.023,23731.67
1681.655,23657.33
1684.286,23638.67
1686.915,23596.67
1689.542,23566.33
1692.168,23488.67
1694.791,23438
1697.413,23400.33
1700.033,23368
1702.652,23302.33
1705.269,23353.33
1707.883,23242.67
1710.497,23207
1713.108,23091.67
1715.717,23005.33
1718.325,23023.67
1720.931,23014.33
1723.536,22930.33
1726.138,22904.67
1728.739,22852.33
1731.338,22797
1733.936,22718.67
1736.531,22746.33
1739.125,22663.67
1741.718,22593.67
1744.308,22582.67
1746.897,22512
1749.484,22462.33
1752.069,22454.33
1754.652,22457
1757.234,22586.67
1759.814,22574.67
1762.392,22500.33
1764.969,22397.33
1767.544,22195.33
1770.117,21907.33
1772.689,21741
1775.258,21628
1777.826,21483.67
1780.393,21412.67
1782.957,21386
1785.52,21320
1788.081,21228.67
1790.641,21255.67
1793.198,21165.33
1795.754,21082.67
1798.309,21029
1800.861,21032.67
1803.412,20888.33
1805.961,20910.33
1808.509,20905.33
1811.055,20827.67
1813.599,20739.33
1816.141,20685
1818.682,20651.67
1821.221,20609.33
1823.759,20536
1826.294,20467.67
1828.828,20393
1831.361,20411.33
1833.891,20288.33
1836.42,20145.33
1838.947,20061.33
1841.473,19994
1843.997,19883.67
1846.519,19730
1849.04,19643.67
1851.559,19522
1854.076,19530
1856.591,19415
1859.105,19311.33
1861.617,19278.33
1864.128,19170.67
1866.637,19092.33
1869.144,18991.67
1871.65,18958.67
1874.154,18940
1876.656,18835
1879.156,18857.33
1881.655,18735
1884.153,18666.33
1886.648,18639.33
1889.142,18461.33
1891.635,18450
1894.125,18419.33
1896.614,18363.33
1899.102,18259.67
1901.587,18227
1904.071,18129.33
1906.554,18057.33
1909.035,18042.33
1911.514,17961.33
1913.991,17858.67
1916.467,17766
1918.942,17724.33
1921.414,17579.33
1923.885,17545
1926.355,17407.33
1928.822,17377.33
1931.289,17169
1933.753,17128.67
1936.216,17018.67
1938.677,16946.67
1941.137,16867.33
1943.595,16753.33
1946.051,16667
1948.506,16659.33
1950.959,16502.67
1953.411,16507.33
1955.861,16454.33
1958.309,16367.33
1960.756,16326
1963.201,16301.33
1965.644,16220
1968.086,16144.33
1970.526,16054.67
1972.965,16107.67
1975.402,15997.33
1977.838,15929.67
1980.272,15928.33
1982.704,15896.67
1985.135,15787.67
1987.564,15721.33
1989.991,15632.67
1992.417,15563.67
1994.841,15473.67
1997.264,15451.33
1999.685,15331.33
2002.105,15248.67
2004.523,15191
2006.939,15055.33
2009.354,15012.33
2011.767,14907
2014.179,14844
2016.589,14747.67
2018.997,14668
2021.404,14612.67
2023.81,14550.33
2026.213,14503.67
2028.616,14472
2031.016,14379
2033.415,14282.67
2035.813,14257
2038.209,14265.33
2040.603,14230
2042.996,14131
2045.387,14121.67
2047.777,14072
2050.165,14022.67
2052.551,13930
2054.936,13892
2057.32,13878.33
2059.702,13818
2062.082,13735.33
2064.461,13659.33
2066.838,13607
2069.214,13643.33
2071.588,13526.33
2073.96,13461.33
2076.331,13412.33
2078.701,13351.67
2081.069,13296.33
2083.435,13196.33
