"Wavenumber","Intensity"
"-16.778","1"
"-12.919","1"
"-9.063","4.67"
"-5.209","1.33"
"-1.359","221.67"
"2.488","222"
"6.332","226.33"
"10.173","235.67"
"14.012","233.33"
"17.847","241.33"
"21.679","252.67"
"25.508","257.33"
"29.335","255.67"
"33.158","275"
"36.979","267.33"
"40.796","288"
"44.611","293"
"48.423","302.67"
"52.231","324.67"
"56.037","335.33"
"59.84","342.67"
"63.64","357.67"
"67.437","391.33"
"71.231","406"
"75.022","434.67"
"78.81","461.33"
"82.596","490.33"
"86.378","529.33"
"90.158","556.67"
"93.934","603.67"
"97.708","667.33"
"101.479","713.67"
"105.247","797"
"109.012","872"
"112.774","959"
"116.533","1106"
"120.289","1317"
"124.043","1654.67"
"127.793","2338.33"
"131.541","3660.67"
"135.286","6234.33"
"139.028","10948"
"142.767","18730"
"146.503","29969.33"
"150.237","44114"
"153.967","59568.33"
"157.695","73815.33"
"161.42","84740.67"
"165.142","91613"
"168.861","95408.33"
"172.577","97567.33"
"176.291","98906"
"180.002","100240.67"
"183.709","101341.33"
"187.414","102297.33"
"191.117","103422.33"
"194.816","104282.33"
"198.512","105316.33"
"202.206","106080.67"
"205.897","106501"
"209.585","106768.33"
"213.27","107390.67"
"216.953","107978"
"220.633","108532.67"
"224.309","108886.33"
"227.984","109540.67"
"231.655","109951"
"235.323","110537.67"
"238.989","110970.67"
"242.652","111507.67"
"246.312","111919.67"
"249.97","112366"
"253.624","112580.67"
"257.276","112996.33"
"260.925","113204.33"
"264.571","113249.33"
"268.215","113419.67"
"271.856","113379.67"
"275.494","113545.33"
"279.129","113474.67"
"282.762","113482.33"
"286.391","113134.33"
"290.018","112878.67"
"293.643","112736.33"
"297.264","112551.33"
"300.883","112353.33"
"304.499","112502"
"308.112","112544.33"
"311.723","112598.67"
"315.331","112877.67"
"318.936","112880"
"322.538","112956.67"
"326.138","113266"
"329.735","113384.33"
"333.33","113738"
"336.921","113720.67"
"340.51","113968.67"
"344.096","114357"
"347.68","114697.67"
"351.261","115178"
"354.839","115405.67"
"358.414","115428.67"
"361.987","115370.33"
"365.557","115355.67"
"369.124","115570.67"
"372.689","115627.67"
"376.251","115474.33"
"379.81","115520.67"
"383.367","115655.67"
"386.921","115392"
"390.472","114800"
"394.021","114555"
"397.567","114520"
"401.11","114286.67"
"404.651","114279.67"
"408.189","114079.33"
"411.724","114088.33"
"415.257","113878"
"418.787","114046.33"
"422.315","114127.67"
"425.839","114460.67"
"429.362","114781.67"
"432.881","114944.67"
"436.398","114884.67"
"439.912","114902.67"
"443.424","115064.33"
"446.933","115150.67"
"450.439","115208.67"
"453.943","115487.33"
"457.444","115630.67"
"460.943","115487.33"
"464.439","115276.67"
"467.932","114945.33"
"471.423","114746.33"
"474.911","114307.33"
"478.397","113985.33"
"481.88","113580.67"
"485.36","113632"
"488.838","113093.67"
"492.313","112315.67"
"495.786","111777.67"
"499.256","111835.33"
"502.723","111423"
"506.188","110901"
"509.651","110781"
"513.11","110313"
"516.567","110133.33"
"520.022","109942"
"523.474","109677.67"
"526.924","109344.67"
"530.37","109371.33"
"533.815","109796.33"
"537.257","110637"
"540.696","110979.67"
"544.133","110770.67"
"547.567","110117"
"550.998","109194.67"
"554.428","108664.33"
"557.854","108299.33"
"561.278","107750"
"564.7","107487.67"
"568.119","107054"
"571.535","106668.67"
"574.949","106301"
"578.36","105722.67"
"581.769","105475.33"
"585.175","105028.67"
"588.579","104455.67"
"591.981","103918"
"595.379","103446.33"
"598.776","103021"
"602.17","102307"
"605.561","101692.67"
"608.95","101172.67"
"612.336","100560.67"
"615.72","100019.67"
"619.101","99497.67"
"622.48","98919.67"
"625.856","98322"
"629.23","97844"
"632.602","97415.67"
"635.971","97127"
"639.337","96838.33"
"642.701","96361.33"
"646.062","96345.33"
"649.421","95883.67"
"652.778","95525.33"
"656.132","95233.67"
"659.484","94803.67"
"662.833","94604.33"
"666.18","94171.67"
"669.524","93887.33"
"672.866","93477.33"
"676.205","93129"
"679.542","92836.67"
"682.877","92402"
"686.209","91966"
"689.538","91737.67"
"692.865","91337.67"
"696.19","90805.33"
"699.512","90720"
"702.832","90378"
"706.15","89909.33"
"709.465","89346"
"712.777","89019.67"
"716.087","88499.67"
"719.395","87705.67"
"722.701","87250.67"
"726.004","86937"
"729.304","86597.67"
"732.602","86277"
"735.898","85710.67"
"739.191","85304"
"742.482","84996.33"
"745.771","84419.67"
"749.057","84064"
"752.341","83764.33"
"755.622","83634.67"
"758.901","83507.33"
"762.177","83482.33"
"765.452","83298.33"
"768.723","83012.33"
"771.993","82463"
"775.26","81944.33"
"778.525","81661"
"781.787","81082"
"785.047","80635.67"
"788.304","80083.33"
"791.56","79539.67"
"794.812","79112"
"798.063","78503.33"
"801.311","77956.33"
"804.557","77466.33"
"807.8","76774.33"
"811.041","76255.33"
"814.28","75620"
"817.516","75144.33"
"820.751","74774.33"
"823.982","74246"
"827.212","73980.33"
"830.439","73639.33"
"833.663","73084"
"836.886","72824.33"
"840.106","72389.67"
"843.323","72225.67"
"846.539","71938.33"
"849.752","71606"
"852.963","71162"
"856.171","71022"
"859.377","70753.67"
"862.581","70305"
"865.782","69968.33"
"868.982","69758"
"872.179","69478.33"
"875.373","69170.33"
"878.565","68959"
"881.755","68605.33"
"884.943","68219"
"888.128","67862.33"
"891.311","67708.67"
"894.492","67207"
"897.671","66938.67"
"900.847","66463"
"904.021","66090.67"
"907.193","65637.67"
"910.362","65250.67"
"913.529","64845"
"916.694","64475.33"
"919.856","64001.33"
"923.017","63763.67"
"926.175","63537"
"929.331","63307.67"
"932.484","63005.33"
"935.635","62806"
"938.784","62605"
"941.931","62461.33"
"945.075","62300.33"
"948.218","61960.67"
"951.358","61691.33"
"954.495","61279"
"957.631","61137"
"960.764","60701"
"963.895","60448.33"
"967.024","60261"
"970.15","59987.33"
"973.274","59690.67"
"976.397","59407"
"979.516","59289.33"
"982.634","58999"
"985.749","58833.33"
"988.862","58443.67"
"991.973","58058"
"995.082","57607"
"998.188","57237.67"
"1001.293","56877"
"1004.395","56458"
"1007.495","56167.33"
"1010.592","55947.33"
"1013.688","55871"
"1016.781","55452"
"1019.872","55206.33"
"1022.961","54892.33"
"1026.047","54822.33"
"1029.132","54578.33"
"1032.214","54352.33"
"1035.294","54398.33"
"1038.372","54149.33"
"1041.448","54073.33"
"1044.521","53958"
"1047.592","53765.67"
"1050.661","53617.67"
"1053.728","53468.33"
"1056.793","53284.67"
"1059.856","53303.67"
"1062.916","53447.33"
"1065.974","53689.33"
"1069.03","53894.33"
"1072.084","53827.67"
"1075.136","53372.67"
"1078.186","52320"
"1081.233","51583"
"1084.278","50733.67"
"1087.321","50378"
"1090.362","50023.33"
"1093.401","49616.67"
"1096.438","49323.33"
"1099.472","49013.33"
"1102.505","48795.67"
"1105.535","48615"
"1108.563","48398.67"
"1111.589","48161.33"
"1114.613","47956.33"
"1117.634","47765.33"
"1120.654","47519"
"1123.671","47363.33"
"1126.687","47083.33"
"1129.7","46879.67"
"1132.711","46782.67"
"1135.72","46491.33"
"1138.726","46306.33"
"1141.731","45936"
"1144.734","45739"
"1147.734","45456.33"
"1150.732","45109.67"
"1153.728","44883.33"
"1156.723","44778"
"1159.715","44450"
"1162.704","44260"
"1165.692","44239"
"1168.678","44183.33"
"1171.661","44021.33"
"1174.643","43993.33"
"1177.622","43957.33"
"1180.6","43763.33"
"1183.575","43705.33"
"1186.548","43586.67"
"1189.519","43652.33"
"1192.488","43621"
"1195.455","43644.33"
"1198.42","43525.67"
"1201.382","43315.33"
"1204.343","43143.33"
"1207.301","43212.67"
"1210.258","43086.67"
"1213.212","42986"
"1216.165","42908.67"
"1219.115","42837.67"
"1222.063","42855"
"1225.009","42924.67"
"1227.953","42898.33"
"1230.895","42650"
"1233.835","42629.33"
"1236.773","42571.33"
"1239.709","42460"
"1242.643","42168.67"
"1245.575","41979"
"1248.504","41830"
"1251.432","41624"
"1254.358","41653.33"
"1257.281","41519.33"
"1260.203","41445.67"
"1263.122","41637"
"1266.04","41572"
"1268.955","41787.33"
"1271.869","42097.67"
"1274.78","42657.33"
"1277.689","43483.67"
"1280.597","44513.33"
"1283.502","45721"
"1286.405","47137.67"
"1289.306","49225"
"1292.206","52038.67"
"1295.103","54698.33"
"1297.998","56410.67"
"1300.891","56836.67"
"1303.782","55398"
"1306.672","51828.33"
"1309.559","47940.67"
"1312.444","45105"
"1315.327","43445.33"
"1318.208","42475.67"
"1321.087","41923.67"
"1323.965","41275"
"1326.84","40878.33"
"1329.713","40549.67"
"1332.584","40257"
"1335.453","40055.67"
"1338.32","39983.67"
"1341.186","39905.67"
"1344.049","39974.33"
"1346.91","39952"
"1349.769","40102.33"
"1352.627","40498"
"1355.482","40933.33"
"1358.335","41662.33"
"1361.187","42493"
"1364.036","43219.67"
"1366.883","43834.33"
"1369.729","44606.33"
"1372.572","46077.67"
"1375.414","48771.67"
"1378.253","51625.67"
"1381.091","52595"
"1383.926","50606.33"
"1386.76","47334.67"
"1389.592","44127"
"1392.422","41747.33"
"1395.249","40295.33"
"1398.075","39638"
"1400.899","39191.33"
"1403.721","38763"
"1406.541","38410.33"
"1409.359","38261.33"
"1412.175","38078"
"1414.99","37887"
"1417.802","37809.67"
"1420.612","37538"
"1423.421","37470.33"
"1426.227","37526"
"1429.032","37649.33"
"1431.834","37529.33"
"1434.635","37680"
"1437.434","37682"
"1440.23","37856.33"
"1443.025","37880.67"
"1445.818","38138.33"
"1448.609","38687.67"
