"Wavenumber","Intensity"
"-16.778","2"
"-12.919","3"
"-9.063","0"
"-5.209","1.33"
"-1.359","153"
"2.488","156.67"
"6.332","154.33"
"10.173","162.33"
"14.012","162"
"17.847","163"
"21.679","178.33"
"25.508","174.67"
"29.335","179.33"
"33.158","186"
"36.979","185.33"
"40.796","197.33"
"44.611","199.67"
"48.423","206.33"
"52.231","219.67"
"56.037","227.33"
"59.84","239.67"
"63.64","254.67"
"67.437","267.33"
"71.231","286"
"75.022","297.33"
"78.81","322"
"82.596","359"
"86.378","368.33"
"90.158","406.67"
"93.934","443.67"
"97.708","471"
"101.479","522.33"
"105.247","562.67"
"109.012","624.33"
"112.774","687"
"116.533","801.33"
"120.289","939.33"
"124.043","1208.33"
"127.793","1694"
"131.541","2678.67"
"135.286","4569"
"139.028","8044.33"
"142.767","13746.67"
"146.503","21977.67"
"150.237","32274"
"153.967","43240"
"157.695","53155"
"161.42","61156.33"
"165.142","66852"
"168.861","71221.33"
"172.577","74076.67"
"176.291","75663"
"180.002","75422.33"
"183.709","74165.33"
"187.414","72768.33"
"191.117","72280.33"
"194.816","72000"
"198.512","72083"
"202.206","72311"
"205.897","72365"
"209.585","72666.33"
"213.27","73070.67"
"216.953","73437.67"
"220.633","73605"
"224.309","73774"
"227.984","74170.67"
"231.655","74102"
"235.323","74151.67"
"238.989","74092.67"
"242.652","73961.33"
"246.312","74061"
"249.97","73999.67"
"253.624","74144.33"
"257.276","74324"
"260.925","74491"
"264.571","74349.33"
"268.215","74417.33"
"271.856","74265"
"275.494","74284"
"279.129","74617"
"282.762","74653"
"286.391","74732.67"
"290.018","74703.33"
"293.643","74402.67"
"297.264","73883"
"300.883","73383.67"
"304.499","72798"
"308.112","72520"
"311.723","72367"
"315.331","72183.67"
"318.936","71987.33"
"322.538","71942"
"326.138","71954.67"
"329.735","71930"
"333.33","72079"
"336.921","72292"
"340.51","72753.33"
"344.096","73399"
"347.68","73886.33"
"351.261","73955"
"354.839","73713.67"
"358.414","73580.67"
"361.987","73604.67"
"365.557","73855.67"
"369.124","74263"
"372.689","74425.33"
"376.251","74045.33"
"379.81","73382.33"
"383.367","72780.33"
"386.921","72289.33"
"390.472","71958"
"394.021","71745"
"397.567","71704"
"401.11","71588.67"
"404.651","71620.33"
"408.189","71486.67"
"411.724","71569.67"
"415.257","71506.33"
"418.787","71637.67"
"422.315","71758"
"425.839","71824.33"
"429.362","72050.33"
"432.881","72107"
"436.398","72196.33"
"439.912","72175.67"
"443.424","72099"
"446.933","72091.33"
"450.439","72299"
"453.943","72325.67"
"457.444","72331"
"460.943","72284"
"464.439","72064.67"
"467.932","72140.33"
"471.423","72098.67"
"474.911","72114.67"
"478.397","71752.33"
"481.88","71546.67"
"485.36","71599"
"488.838","71395.33"
"492.313","71034.67"
"495.786","70831.67"
"499.256","71172.67"
"502.723","71593"
"506.188","71847.33"
"509.651","71174.33"
"513.11","70105"
"516.567","69608"
"520.022","69508.67"
"523.474","69325.33"
"526.924","69158.67"
"530.37","69165.67"
"533.815","69262.33"
"537.257","69688.33"
"540.696","69777.67"
"544.133","69839.33"
"547.567","70290.33"
"550.998","71379.33"
"554.428","72567.67"
"557.854","73074"
"561.278","73034.67"
"564.7","72612"
"568.119","71771.67"
"571.535","70454"
"574.949","69382.67"
"578.36","68639"
"581.769","68347.33"
"585.175","68207"
"588.579","68163.33"
"591.981","68076.67"
"595.379","67902.33"
"598.776","67407.67"
"602.17","67255.67"
"605.561","67152.67"
"608.95","67226.67"
"612.336","67091"
"615.72","67336"
"619.101","67916.33"
"622.48","68327.33"
"625.856","67681.67"
"629.23","66390"
"632.602","65254"
"635.971","64778.67"
"639.337","64328.33"
"642.701","64084"
"646.062","63954"
"649.421","64092.67"
"652.778","64229.67"
"656.132","64339"
"659.484","65044.33"
"662.833","65053.67"
"666.18","64337.33"
"669.524","63476.33"
"672.866","63028.33"
"676.205","62806.33"
"679.542","62528"
"682.877","62334.33"
"686.209","62375.67"
"689.538","62330.33"
"692.865","62688.33"
"696.19","62774"
"699.512","62526.33"
"702.832","61968.33"
"706.15","61600"
"709.465","61324"
"712.777","61667.33"
"716.087","62723"
"719.395","62793.67"
"722.701","61514"
"726.004","60563"
"729.304","60380.67"
"732.602","60080.33"
"735.898","59758"
"739.191","59602"
"742.482","59565"
"745.771","59195.33"
"749.057","59005.67"
"752.341","59213.33"
"755.622","59435"
"758.901","59557.67"
"762.177","59336"
"765.452","59502"
"768.723","59789.67"
"771.993","59443.33"
"775.26","58759.67"
"778.525","58235.67"
"781.787","58156.67"
"785.047","57828"
"788.304","57570.67"
"791.56","57234.67"
"794.812","57103"
"798.063","56783.67"
"801.311","56501"
"804.557","56317.33"
"807.8","55989.67"
"811.041","55741"
"814.28","55669.67"
"817.516","56279"
"820.751","56541"
"823.982","56059"
"827.212","55142"
"830.439","54434"
"833.663","54099"
"836.886","53809.33"
"840.106","53684"
"843.323","53632.33"
"846.539","53599.33"
"849.752","53507"
"852.963","53830.33"
"856.171","54531.67"
"859.377","55615"
"862.581","55986"
"865.782","55499"
"868.982","54370.67"
"872.179","53469"
"875.373","52865.67"
"878.565","52657.33"
"881.755","52521.33"
"884.943","52434.67"
"888.128","52330"
"891.311","52290.33"
"894.492","52033.33"
"897.671","51880.33"
"900.847","51636"
"904.021","51525.33"
"907.193","51270.67"
"910.362","50997.33"
"913.529","50740.33"
"916.694","50334.67"
"919.856","50079.67"
"923.017","49913.33"
"926.175","49624"
"929.331","49490.67"
"932.484","49335.33"
"935.635","49213.67"
"938.784","49079.67"
"941.931","48987.67"
"945.075","49059.33"
"948.218","49070.67"
"951.358","49150"
"954.495","48948"
"957.631","48717.67"
"960.764","48413"
"963.895","48238"
"967.024","48129"
"970.15","48321.67"
"973.274","48286.33"
"976.397","48414.33"
"979.516","48426.33"
"982.634","48455.67"
"985.749","48630"
"988.862","48700.33"
"991.973","48566"
"995.082","48406"
"998.188","48281.67"
"1001.293","48138.33"
"1004.395","47798"
"1007.495","47554.67"
"1010.592","47618"
"1013.688","47775.67"
"1016.781","47933.33"
"1019.872","47923.33"
"1022.961","47617.67"
"1026.047","46990.33"
"1029.132","46529.33"
