"Wavenumber","Intensity"
"-16.778","0.67"
"-12.919","-0.67"
"-9.063","-0.33"
"-5.209","-2.67"
"-1.359","22"
"2.488","22"
"6.332","18"
"10.173","21"
"14.012","19.67"
"17.847","25"
"21.679","19.67"
"25.508","18.67"
"29.335","22.67"
"33.158","24.33"
"36.979","24.33"
"40.796","28.33"
"44.611","27.33"
"48.423","26.67"
"52.231","26.67"
"56.037","32"
"59.84","37"
"63.64","36.33"
"67.437","31.67"
"71.231","40.33"
"75.022","35.67"
"78.81","45"
"82.596","43.67"
"86.378","51"
"90.158","54"
"93.934","63"
"97.708","63.33"
"101.479","65.67"
"105.247","69"
"109.012","82.67"
"112.774","95.67"
"116.533","109"
"120.289","130.33"
"124.043","164.33"
"127.793","240.33"
"131.541","372"
"135.286","645.67"
"139.028","1130.33"
"142.767","1921.67"
"146.503","3095"
"150.237","4526"
"153.967","6077.67"
"157.695","7440"
"161.42","8433.33"
"165.142","9063"
"168.861","9364"
"172.577","9552.33"
"176.291","9619.33"
"180.002","9698.33"
"183.709","9754.33"
"187.414","9811.67"
"191.117","9934.67"
"194.816","9991"
"198.512","10028"
"202.206","10091"
"205.897","10060"
"209.585","10093.33"
"213.27","10119.67"
"216.953","10140.67"
"220.633","10191.67"
"224.309","10175.67"
"227.984","10193"
"231.655","10196"
"235.323","10196.67"
"238.989","10217"
"242.652","10275"
"246.312","10276"
"249.97","10238.67"
"253.624","10241.67"
"257.276","10266.67"
"260.925","10205.67"
"264.571","10208"
"268.215","10176.67"
"271.856","10149.33"
"275.494","10154.67"
"279.129","10148.33"
"282.762","10133.33"
"286.391","10103.67"
"290.018","10126.33"
"293.643","10068.33"
"297.264","10006.33"
"300.883","9930"
"304.499","9893.67"
"308.112","9821"
"311.723","9740.33"
"315.331","9723"
"318.936","9687.33"
"322.538","9694.33"
"326.138","9701.33"
"329.735","9603.33"
"333.33","9627.33"
"336.921","9629.33"
"340.51","9629"
"344.096","9666.67"
"347.68","9651.67"
"351.261","9606"
"354.839","9653.33"
"358.414","9632.67"
"361.987","9576"
"365.557","9565.33"
"369.124","9592"
"372.689","9574.33"
"376.251","9600.67"
"379.81","9582"
"383.367","9595"
"386.921","9514"
"390.472","9491.33"
"394.021","9426"
"397.567","9322"
"401.11","9318"
"404.651","9277.67"
"408.189","9273.67"
"411.724","9205.33"
"415.257","9182.67"
"418.787","9184.67"
"422.315","9168.67"
"425.839","9183.33"
"429.362","9230.33"
"432.881","9256"
"436.398","9244.33"
"439.912","9240"
"443.424","9221.67"
"446.933","9215"
"450.439","9170.67"
"453.943","9188.67"
"457.444","9199"
"460.943","9113"
"464.439","9085"
"467.932","9043"
"471.423","9043.67"
"474.911","9030"
"478.397","9001.33"
"481.88","8945.67"
"485.36","8935.67"
"488.838","8935.33"
"492.313","8853.67"
"495.786","8842.67"
"499.256","8830"
"502.723","8811.67"
"506.188","8888"
"509.651","8984.33"
"513.11","9208.67"
"516.567","9035"
"520.022","9018.67"
"523.474","8937"
"526.924","8816.67"
"530.37","8705.67"
"533.815","8600"
"537.257","8542"
"540.696","8575.67"
"544.133","8659"
"547.567","8832"
"550.998","9112"
"554.428","9293"
"557.854","9232"
"561.278","8854.33"
"564.7","8529"
"568.119","8325.33"
"571.535","8214.33"
"574.949","8169"
"578.36","8116.33"
"581.769","8084.33"
"585.175","8106.33"
"588.579","8065"
"591.981","7991.67"
"595.379","7917.33"
"598.776","7866.67"
"602.17","7826.33"
"605.561","7759.33"
"608.95","7680.67"
"612.336","7662.67"
"615.72","7574.67"
"619.101","7556"
"622.48","7497.33"
"625.856","7425.33"
"629.23","7434"
"632.602","7384.67"
"635.971","7318.67"
"639.337","7298"
"642.701","7270"
"646.062","7225"
"649.421","7242"
"652.778","7214.33"
"656.132","7172.33"
"659.484","7170.33"
"662.833","7158"
"666.18","7147.67"
"669.524","7085"
"672.866","7084.67"
"676.205","7055.67"
"679.542","6993.67"
"682.877","6976.33"
"686.209","6946"
"689.538","6904.33"
"692.865","6908"
"696.19","6849"
"699.512","6828.33"
"702.832","6820.67"
"706.15","6795.33"
"709.465","6770"
"712.777","6747.33"
"716.087","6739.67"
"719.395","6694.67"
"722.701","6680.67"
"726.004","6634.33"
"729.304","6639.33"
"732.602","6613.33"
"735.898","6539.67"
"739.191","6493.67"
"742.482","6499.33"
"745.771","6483"
"749.057","6459.33"
"752.341","6436.67"
"755.622","6427.33"
"758.901","6420.33"
"762.177","6459.33"
"765.452","6483"
"768.723","6418.33"
"771.993","6424.67"
"775.26","6403"
"778.525","6341"
"781.787","6274"
"785.047","6213.67"
"788.304","6188"
"791.56","6129"
"794.812","6120.67"
"798.063","6085.33"
"801.311","6107.33"
"804.557","6103.67"
"807.8","6067.33"
"811.041","5969"
"814.28","5915"
"817.516","5903"
"820.751","5886"
"823.982","5838.67"
"827.212","5841.33"
"830.439","5801.33"
"833.663","5811.67"
"836.886","5814"
"840.106","5822"
"843.323","5766.33"
"846.539","5752.33"
"849.752","5731.33"
"852.963","5696"
"856.171","5689"
"859.377","5685.67"
"862.581","5657"
"865.782","5663"
"868.982","5639"
"872.179","5645"
"875.373","5603.67"
"878.565","5548.33"
"881.755","5534.33"
"884.943","5549.33"
"888.128","5557"
"891.311","5547.33"
"894.492","5535.33"
"897.671","5526"
"900.847","5461.67"
"904.021","5417.67"
"907.193","5395.67"
"910.362","5374.67"
"913.529","5354"
"916.694","5341.67"
"919.856","5339.67"
"923.017","5288.33"
"926.175","5282"
"929.331","5247.33"
"932.484","5231"
"935.635","5197.33"
"938.784","5200.33"
"941.931","5159.67"
"945.075","5125.33"
"948.218","5113.67"
"951.358","5094.33"
"954.495","5094.33"
"957.631","5077.33"
"960.764","5042.33"
"963.895","5033.33"
"967.024","5028.67"
"970.15","5010"
"973.274","4972.67"
"976.397","4977"
"979.516","4948.67"
"982.634","4911.67"
"985.749","4870"
"988.862","4843"
"991.973","4797.33"
"995.082","4825.33"
"998.188","4793.33"
"1001.293","4732"
"1004.395","4753.33"
"1007.495","4693"
"1010.592","4737.67"
"1013.688","4663.67"
"1016.781","4680.67"
