"Wavenumber","Intensity"
"-16.778","3.33"
"-12.919","1.67"
"-9.063","2"
"-5.209","2.67"
"-1.359","162.67"
"2.488","163.33"
"6.332","177.67"
"10.173","174.67"
"14.012","183.67"
"17.847","185.33"
"21.679","193.33"
"25.508","198.67"
"29.335","205"
"33.158","202.67"
"36.979","226.67"
"40.796","220"
"44.611","223.33"
"48.423","245.33"
"52.231","245.67"
"56.037","251"
"59.84","275"
"63.64","293.33"
"67.437","295"
"71.231","316.33"
"75.022","340.67"
"78.81","359.67"
"82.596","397.33"
"86.378","418.67"
"90.158","463"
"93.934","486.33"
"97.708","542.33"
"101.479","571"
"105.247","639"
"109.012","703"
"112.774","786"
"116.533","909.33"
"120.289","1078.67"
"124.043","1403.33"
"127.793","2013"
"131.541","3173.67"
"135.286","5492"
"139.028","9695.67"
"142.767","16513.67"
"146.503","26127"
"150.237","37987"
"153.967","50310.67"
"157.695","61549.67"
"161.42","69639.67"
"165.142","74906.33"
"168.861","77540"
"172.577","79121.67"
"176.291","79931"
"180.002","80709.67"
"183.709","81278.67"
"187.414","81846"
"191.117","82502"
"194.816","83024.67"
"198.512","83524.33"
"202.206","83876"
"205.897","83957"
"209.585","83914.33"
"213.27","84293.67"
"216.953","84539"
"220.633","84674"
"224.309","84813.67"
"227.984","85123.67"
"231.655","85383"
"235.323","85739.67"
"238.989","86633"
"242.652","87301"
"246.312","87668.33"
"249.97","87988"
"253.624","88058.67"
"257.276","87596"
"260.925","87456"
"264.571","86948.67"
"268.215","86852.33"
"271.856","86387"
"275.494","86427.67"
"279.129","86197"
"282.762","85946"
"286.391","85920.67"
"290.018","85895"
"293.643","85525.33"
"297.264","85056"
"300.883","84470.33"
"304.499","83981"
"308.112","83729"
"311.723","83564.67"
"315.331","83642.67"
"318.936","83568.33"
"322.538","83342.33"
"326.138","83433.67"
"329.735","83396.67"
"333.33","83474.67"
"336.921","83450.67"
"340.51","83737"
"344.096","83718.67"
"347.68","84083.67"
"351.261","84488"
"354.839","84740.33"
"358.414","84553.67"
"361.987","84304.33"
"365.557","83671"
"369.124","83446.67"
"372.689","83119"
"376.251","82933"
"379.81","82663.33"
"383.367","82398"
"386.921","82237.33"
"390.472","81893.33"
"394.021","81845"
"397.567","81599"
"401.11","81569.67"
"404.651","81328.67"
"408.189","81283"
"411.724","81189.33"
"415.257","81221.67"
"418.787","81595.67"
"422.315","81413"
"425.839","81189.33"
"429.362","81094.33"
"432.881","81084.67"
"436.398","81052.67"
"439.912","80978.33"
"443.424","80867"
