"Wavenumber","Intensity"
"-16.778","0.33"
"-12.919","-1.67"
"-9.063","-0.33"
"-5.209","0.33"
"-1.359","5.67"
"2.488","4.33"
"6.332","1.33"
"10.173","-3"
"14.012","-0.67"
"17.847","1.33"
"21.679","0"
"25.508","0.67"
"29.335","-0.33"
"33.158","-1.67"
"36.979","-1.33"
"40.796","-1.33"
"44.611","-0.33"
"48.423","2.33"
"52.231","-3.67"
"56.037","0.33"
"59.84","0.33"
"63.64","-2.33"
"67.437","4"
"71.231","-1"
"75.022","-1.33"
"78.81","5"
"82.596","-0.67"
"86.378","-1.67"
"90.158","2"
"93.934","1.67"
"97.708","2.33"
"101.479","-2"
"105.247","-2.67"
"109.012","2.33"
"112.774","5.33"
"116.533","-1.67"
"120.289","1.33"
"124.043","2"
"127.793","9"
"131.541","7.67"
"135.286","16.67"
"139.028","34.67"
"142.767","54.33"
"146.503","95.33"
"150.237","135.33"
"153.967","145.67"
"157.695","152.67"
"161.42","158"
"165.142","167"
"168.861","151"
"172.577","148.33"
"176.291","141"
"180.002","158"
"183.709","164.67"
"187.414","145"
"191.117","154.33"
"194.816","135.33"
"198.512","119.33"
"202.206","130.67"
"205.897","104"
"209.585","106.67"
"213.27","104.67"
"216.953","81"
"220.633","83.67"
"224.309","84"
"227.984","76"
"231.655","107"
"235.323","86.33"
"238.989","101"
"242.652","110"
"246.312","120"
"249.97","135"
"253.624","137.67"
"257.276","109"
"260.925","124.33"
"264.571","105.33"
"268.215","133"
"271.856","114.33"
"275.494","121.67"
"279.129","120.67"
"282.762","121.33"
"286.391","123"
"290.018","168.67"
"293.643","188.33"
"297.264","269.33"
"300.883","263.67"
"304.499","229.67"
"308.112","189.33"
"311.723","129.67"
"315.331","95.67"
"318.936","103"
"322.538","90"
"326.138","74"
"329.735","80"
"333.33","65"
"336.921","103.67"
"340.51","68.33"
"344.096","103.33"
"347.68","90.33"
"351.261","121.33"
"354.839","98"
"358.414","99"
"361.987","83"
"365.557","63.33"
"369.124","61.33"
"372.689","47.67"
"376.251","29.67"
"379.81","49.33"
"383.367","46.67"
"386.921","56"
"390.472","91.33"
"394.021","81.67"
"397.567","70.33"
"401.11","103.67"
"404.651","82.67"
"408.189","68.33"
"411.724","47.67"
"415.257","28"
"418.787","24.67"
"422.315","3.67"
"425.839","-2.67"
"429.362","15.67"
"432.881","26.33"
"436.398","68"
"439.912","89.67"
"443.424","85.67"
"446.933","64.67"
"450.439","25.67"
"453.943","8.33"
"457.444","-14.33"
"460.943","-44"
"464.439","-87.67"
"467.932","-56.67"
"471.423","-85.33"
"474.911","-82.33"
"478.397","-110"
"481.88","-121.67"
"485.36","-113"
"488.838","-106.67"
"492.313","-118.33"
"495.786","-79"
"499.256","46.67"
"502.723","246"
"506.188","479.67"
"509.651","423"
"513.11","236"
"516.567","38"
"520.022","-34.67"
"523.474","-86.33"
"526.924","-69.67"
"530.37","-66.33"
"533.815","-43"
"537.257","-33.67"
"540.696","-18.67"
"544.133","211.33"
"547.567","570"
"550.998","700.33"
"554.428","432"
"557.854","247"
"561.278","346.67"
"564.7","279.67"
"568.119","70.67"
"571.535","-78.67"
"574.949","-130.33"
"578.36","-148.33"
"581.769","-155.33"
"585.175","-167"
"588.579","-169.33"
"591.981","-175.33"
"595.379","-182.33"
"598.776","-184.67"
"602.17","-194"
"605.561","-209.67"
"608.95","-182"
"612.336","-153.67"
"615.72","-96.67"
"619.101","-91.33"
"622.48","-159.67"
"625.856","-172.33"
"629.23","-201.33"
"632.602","-210"
"635.971","-219.33"
"639.337","-207"
"642.701","-214"
"646.062","-194.67"
"649.421","-200.33"
"652.778","-213.67"
"656.132","-238.67"
"659.484","-244.33"
"662.833","-234"
"666.18","-263.67"
"669.524","-242.67"
"672.866","-259.67"
"676.205","-245.33"
"679.542","-226.33"
"682.877","-228.33"
"686.209","-246.33"
"689.538","-269.67"
"692.865","-261.33"
"696.19","-227.67"
"699.512","-229.67"
"702.832","-218.33"
"706.15","-228.33"
"709.465","-247.67"
"712.777","-272"
"716.087","-282"
"719.395","-273"
"722.701","-258"
"726.004","-264"
"729.304","-245.33"
"732.602","-257.33"
"735.898","-246.67"
"739.191","-225.67"
"742.482","-168.67"
"745.771","-164"
"749.057","-200"
"752.341","-247.67"
"755.622","-258"
"758.901","-255.33"
"762.177","-242"
"765.452","-190"
"768.723","-177"
"771.993","-216.33"
"775.26","-256.33"
"778.525","-305"
"781.787","-294.33"
"785.047","-251.67"
"788.304","-209"
"791.56","-187.33"
"794.812","-158"
"798.063","-199.67"
"801.311","-234.33"
"804.557","-287.33"
"807.8","-276.67"
"811.041","-292.67"
"814.28","-278.67"
"817.516","-237"
"820.751","-227"
"823.982","-260.33"
"827.212","-280.33"
"830.439","-269.33"
"833.663","-255"
"836.886","-240"
"840.106","-188.67"
"843.323","-126.67"
"846.539","-130"
"849.752","-141.33"
"852.963","-161.67"
"856.171","-212.67"
"859.377","-263.67"
"862.581","-282.67"
"865.782","-301.33"
"868.982","-310.67"
"872.179","-314"
"875.373","-316"
"878.565","-295.33"
"881.755","-277.33"
"884.943","-277.67"
"888.128","-234"
"891.311","-228.33"
"894.492","-219"
"897.671","-227.67"
"900.847","-260.67"
"904.021","-292.33"
"907.193","-333.67"
"910.362","-345.33"
"913.529","-343.67"
"916.694","-343.33"
"919.856","-337.67"
"923.017","-333.33"
"926.175","-329.33"
"929.331","-327.33"
"932.484","-320"
"935.635","-291.67"
"938.784","-262.33"
"941.931","-211.33"
"945.075","-165.67"
"948.218","-179.67"
"951.358","-169.33"
"954.495","-137.33"
"957.631","-151.33"
"960.764","-155.67"
"963.895","-226.33"
"967.024","-263"
"970.15","-329.33"
"973.274","-338.33"
"976.397","-340.33"
"979.516","-365.67"
"982.634","-362.67"
"985.749","-377"
"988.862","-373.33"
"991.973","-356.67"
"995.082","-354"
"998.188","-364.33"
"1001.293","-374.67"
"1004.395","-379"
"1007.495","-384.67"
"1010.592","-368"
"1013.688","-383.67"
"1016.781","-381.33"
"1019.872","-394.33"
"1022.961","-392.67"
"1026.047","-381.33"
"1029.132","-366.67"
"1032.214","-358.67"
"1035.294","-353.67"
"1038.372","-357"
"1041.448","-359.67"
"1044.521","-347"
"1047.592","-307.67"
"1050.661","-280.67"
"1053.728","-237"
"1056.793","-141.33"
"1059.856","29.33"
"1062.916","248.33"
"1065.974","471"
"1069.03","555"
"1072.084","378.33"
"1075.136","151"
"1078.186","-48.33"
"1081.233","-167"
"1084.278","-244.33"
"1087.321","-306.67"
"1090.362","-345"
"1093.401","-347"
"1096.438","-320"
"1099.472","-331"
"1102.505","-346.67"
"1105.535","-360"
"1108.563","-383"
"1111.589","-371.33"
"1114.613","-375.67"
"1117.634","-384.33"
"1120.654","-375.67"
"1123.671","-393.33"
"1126.687","-383"
"1129.7","-389.33"
"1132.711","-406"
"1135.72","-421.67"
"1138.726","-402"
"1141.731","-400.67"
"1144.734","-419.67"
"1147.734","-383"
"1150.732","-399.67"
"1153.728","-395.67"
"1156.723","-364.67"
"1159.715","-335.67"
"1162.704","-294.33"
"1165.692","-230.67"
"1168.678","-213.67"
"1171.661","-228.33"
"1174.643","-277.33"
"1177.622","-351"
"1180.6","-385.33"
"1183.575","-385.67"
"1186.548","-414.33"
"1189.519","-402"
"1192.488","-424.67"
"1195.455","-436.33"
"1198.42","-447.33"
"1201.382","-457.33"
"1204.343","-461"
"1207.301","-464.33"
"1210.258","-423.67"
"1213.212","-429"
"1216.165","-431.33"
"1219.115","-404"
"1222.063","-414.67"
"1225.009","-395.67"
"1227.953","-396.33"
"1230.895","-342"
"1233.835","-290.67"
"1236.773","-200"
"1239.709","-98.33"
"1242.643","64"
"1245.575","260"
"1248.504","505.67"
"1251.432","652.33"
"1254.358","703"
"1257.281","676.33"
"1260.203","663.33"
"1263.122","637"
"1266.04","611.67"
"1268.955","542.33"
"1271.869","437.33"
"1274.78","233.33"
"1277.689","87"
"1280.597","-52"
"1283.502","-6.67"
"1286.405","118"
"1289.306","394.67"
"1292.206","795.33"
