"Wavenumber","Intensity"
"-16.778","-1.67"
"-12.919","-0.33"
"-9.063","2.67"
"-5.209","-0.67"
"-1.359","44"
"2.488","40"
"6.332","35.67"
"10.173","40.67"
"14.012","41.67"
"17.847","44"
"21.679","43"
"25.508","42.67"
"29.335","44.67"
"33.158","39.67"
"36.979","46.67"
"40.796","50.33"
"44.611","52.33"
"48.423","49"
"52.231","53"
"56.037","57.67"
"59.84","54.67"
"63.64","63.67"
"67.437","64.67"
"71.231","64.67"
"75.022","69.33"
"78.81","79.33"
"82.596","83.33"
"86.378","92.67"
"90.158","96.67"
"93.934","102"
"97.708","111.67"
"101.479","125"
"105.247","133.33"
"109.012","148"
"112.774","170.33"
"116.533","191.33"
"120.289","230"
"124.043","303.33"
"127.793","407"
"131.541","649"
"135.286","1131.67"
"139.028","1971.33"
"142.767","3399.33"
"146.503","5433.67"
"150.237","7950.33"
"153.967","10642.33"
"157.695","13098.67"
"161.42","14821"
"165.142","15937.33"
"168.861","16505.33"
"172.577","16753.67"
"176.291","16964.67"
"180.002","17204.33"
"183.709","17495"
"187.414","17867"
"191.117","18096.33"
"194.816","18304.67"
"198.512","18285.67"
"202.206","18288"
"205.897","18256.33"
"209.585","18169.67"
"213.27","18182.33"
"216.953","18143.67"
"220.633","18104.67"
"224.309","17998.33"
"227.984","17942"
"231.655","17992.67"
"235.323","18040.33"
"238.989","18002"
"242.652","18038.67"
"246.312","18172.67"
"249.97","18365"
"253.624","18779"
"257.276","19266"
"260.925","19323.67"
"264.571","19073.67"
"268.215","18702"
"271.856","18284.33"
"275.494","18009.33"
"279.129","17837"
"282.762","17669.67"
"286.391","17536"
"290.018","17365"
"293.643","17268"
"297.264","17183"
"300.883","17122.67"
"304.499","17112.67"
"308.112","17080.67"
"311.723","17117"
"315.331","17105.33"
"318.936","17213.67"
"322.538","17476"
"326.138","18207"
"329.735","18823.33"
"333.33","19063.67"
"336.921","18967.33"
"340.51","19156"
"344.096","19419.33"
"347.68","19342"
"351.261","18635.33"
"354.839","17879.33"
"358.414","17474"
"361.987","17393.67"
"365.557","17318.33"
"369.124","17285"
"372.689","17168.67"
"376.251","17174.67"
"379.81","17074.67"
"383.367","16984.33"
"386.921","16997.67"
"390.472","17025"
"394.021","17095.33"
"397.567","17207"
"401.11","17275.33"
"404.651","17442"
