"Wavenumber","Intensity"
"-16.778","1.33"
"-12.919","1.67"
"-9.063","4.67"
"-5.209","-2"
"-1.359","9"
"2.488","8"
"6.332","5.67"
"10.173","5.67"
"14.012","5"
"17.847","6"
"21.679","4"
"25.508","8.67"
"29.335","6.67"
"33.158","8.67"
"36.979","7.33"
"40.796","7"
"44.611","8.67"
"48.423","10.33"
"52.231","7"
"56.037","9.33"
"59.84","10.33"
"63.64","4.33"
"67.437","11"
"71.231","8"
"75.022","4.33"
"78.81","12.33"
"82.596","2.67"
"86.378","12"
"90.158","11.33"
"93.934","13.67"
"97.708","17"
"101.479","15"
"105.247","17.33"
"109.012","20.33"
"112.774","26.67"
"116.533","31"
"120.289","37"
"124.043","47.67"
"127.793","68"
"131.541","100.33"
"135.286","179"
"139.028","312.67"
"142.767","548.33"
"146.503","849.33"
"150.237","1259.67"
"153.967","1675.67"
"157.695","2076"
"161.42","2333"
"165.142","2504.33"
"168.861","2560"
"172.577","2590.67"
"176.291","2600.33"
"180.002","2630"
"183.709","2614"
"187.414","2611.67"
"191.117","2639.67"
"194.816","2591"
"198.512","2597.33"
"202.206","2598"
"205.897","2588.67"
"209.585","2568.33"
"213.27","2572.33"
"216.953","2588"
"220.633","2583.67"
"224.309","2549.67"
"227.984","2533"
"231.655","2555.33"
"235.323","2550"
"238.989","2563"
"242.652","2553"
"246.312","2555.67"
"249.97","2554"
"253.624","2587.33"
"257.276","2564.67"
"260.925","2573.33"
"264.571","2539.33"
"268.215","2556.33"
"271.856","2556.67"
"275.494","2552"
"279.129","2539.33"
"282.762","2520"
"286.391","2529.67"
"290.018","2470.67"
"293.643","2451.67"
"297.264","2459.67"
"300.883","2441.67"
"304.499","2417"
"308.112","2430"
"311.723","2404"
"315.331","2397"
"318.936","2407.33"
"322.538","2384.67"
"326.138","2387.67"
"329.735","2391.67"
"333.33","2406"
"336.921","2401"
"340.51","2394.33"
"344.096","2393.33"
"347.68","2378"
"351.261","2371.33"
"354.839","2377"
"358.414","2383.33"
"361.987","2357.67"
"365.557","2340.67"
"369.124","2352"
"372.689","2339.67"
"376.251","2329.67"
"379.81","2312.67"
"383.367","2348.67"
"386.921","2317"
"390.472","2312"
"394.021","2323.67"
"397.567","2325.67"
"401.11","2297.67"
"404.651","2293.33"
"408.189","2272"
"411.724","2254"
"415.257","2266.33"
"418.787","2285.67"
"422.315","2289.67"
"425.839","2323"
"429.362","2342.33"
"432.881","2351.67"
"436.398","2364.67"
"439.912","2371.67"
"443.424","2344.33"
"446.933","2346.33"
"450.439","2312.67"
"453.943","2311"
"457.444","2282"
"460.943","2256"
"464.439","2236.33"
"467.932","2245.67"
"471.423","2241.67"
"474.911","2245.33"
"478.397","2240"
"481.88","2287.33"
"485.36","2313.33"
"488.838","2330.67"
"492.313","2379"
"495.786","2427"
"499.256","2518.33"
"502.723","2632"
"506.188","2729.67"
"509.651","2847"
"513.11","2912.33"
"516.567","2783.33"
"520.022","2572.67"
"523.474","2397.33"
"526.924","2269.33"
"530.37","2202.67"
"533.815","2163"
"537.257","2155"
"540.696","2150.67"
"544.133","2187"
"547.567","2233"
"550.998","2334"
"554.428","2437"
"557.854","2472.33"
"561.278","2376"
"564.7","2231.67"
"568.119","2143"
"571.535","2091"
"574.949","2079.33"
"578.36","2035"
"581.769","2054"
"585.175","2035.33"
"588.579","2012.33"
"591.981","1969.67"
"595.379","1934"
"598.776","1926.33"
"602.17","1907.33"
"605.561","1908.67"
"608.95","1901"
"612.336","1884"
"615.72","1905"
"619.101","1913.33"
"622.48","1908.67"
"625.856","1841.33"
"629.23","1830.33"
"632.602","1813.67"
"635.971","1805.67"
"639.337","1790.67"
"642.701","1770.67"
"646.062","1761"
"649.421","1755.67"
"652.778","1722"
"656.132","1743"
"659.484","1710.33"
"662.833","1702"
"666.18","1711.67"
"669.524","1712.67"
"672.866","1715.67"
"676.205","1688.67"
"679.542","1666.67"
"682.877","1662.67"
"686.209","1651.33"
"689.538","1651.67"
"692.865","1647.67"
"696.19","1640.33"
"699.512","1643.67"
"702.832","1633"
"706.15","1629"
"709.465","1623"
"712.777","1590.67"
"716.087","1591"
"719.395","1587.67"
"722.701","1557.67"
"726.004","1575"
"729.304","1561.67"
"732.602","1549.33"
"735.898","1548.67"
"739.191","1586.33"
"742.482","1614.33"
"745.771","1633"
"749.057","1596.33"
"752.341","1570.67"
"755.622","1526"
"758.901","1550.33"
"762.177","1543.33"
"765.452","1576.67"
"768.723","1575.67"
"771.993","1571.33"
"775.26","1559.67"
"778.525","1541"
"781.787","1521"
"785.047","1532.33"
"788.304","1576"
"791.56","1573.67"
"794.812","1560.33"
"798.063","1511.67"
"801.311","1445.67"
"804.557","1427.67"
"807.8","1385.33"
"811.041","1387.67"
"814.28","1396"
"817.516","1417.33"
