X;Y
-16,778;1529,08
-12,919;1531,08
-9,063;1529,42
-5,209;1528,75
-1,359;1535,75
2,488;1531,75
6,332;1528,75
10,173;1528,08
14,012;1527,08
17,847;1526,42
21,679;1530,08
25,508;1526,08
29,335;1525,75
33,158;1528,08
36,979;1525,08
40,796;1526,08
44,611;1528,42
48,423;1525,75
52,231;1530,08
56,037;1522,75
59,84;1528,75
63,64;1529,08
67,437;1530,42
71,231;1530,42
75,022;1531,08
78,81;1527,75
82,596;1529,42
86,378;1528,75
90,158;1526,75
93,934;1525,08
97,708;1529,08
101,479;1527,75
105,247;1524,75
109,012;1524,75
112,774;1526,42
116,533;1526,42
120,289;1526,08
124,043;1523,08
127,793;1528,42
131,541;1522,08
135,286;1528,08
139,028;1519,75
142,767;1510,75
146,503;1500,08
150,237;1483,75
153,967;1463,08
157,695;1439,08
161,42;1424,75
165,142;1416,08
168,861;1414,75
172,577;1414,42
176,291;1401,75
180,002;1401,42
183,709;1402,42
187,414;1400,75
191,117;1404,75
194,816;1406,08
198,512;1410,42
202,206;1400,75
205,897;1399,08
209,585;1403,08
213,27;1402,08
216,953;1403,08
220,633;1422,08
224,309;1423,75
227,984;1441,08
231,655;1420,42
235,323;1411,42
238,989;1398,75
242,652;1397,08
246,312;1403,75
249,97;1393,75
253,624;1395,42
257,276;1403,75
260,925;1395,42
264,571;1411,08
268,215;1404,75
271,856;1409,08
275,494;1415,08
279,129;1412,08
282,762;1423,08
286,391;1424,42
290,018;1425,08
293,643;1419,75
297,264;1410,42
300,883;1418,08
304,499;1407,42
308,112;1401,75
311,723;1400,08
315,331;1395,08
318,936;1403,08
322,538;1404,08
326,138;1404,42
329,735;1397,42
333,33;1403,08
336,921;1398,75
340,51;1409,42
344,096;1410,75
347,68;1420,08
351,261;1440,75
354,839;1462,75
358,414;1475,42
361,987;1483,75
365,557;1458,75
369,124;1447,75
372,689;1427,42
376,251;1430,42
379,81;1442,42
383,367;1473,75
386,921;1530,42
390,472;1580,08
394,021;1614,42
397,567;1628,08
401,11;1647,42
404,651;1633,08
408,189;1557,08
411,724;1475,75
415,257;1476,08
418,787;1464,75
422,315;1465,75
425,839;1442,75
429,362;1433,42
432,881;1442,42
436,398;1466,08
439,912;1453,75
443,424;1417,75
446,933;1398,08
450,439;1380,08
453,943;1375,75
457,444;1382,08
460,943;1377,42
464,439;1368,75
467,932;1372,08
471,423;1373,42
474,911;1359,42
478,397;1366,08
481,88;1361,08
